Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,fppg_floor,fppg_ceiling,max_exposure,min_exposure,max_deviation,min_deviation
WR,Ja'Marr Chase (40706943),Ja'Marr Chase,40706943,WR/FLEX,8900,CIN@GB 11/12/2025 10:00PM ET,CIN,13.367653988821411,0.0,20.051480983232118,100,0,0,0
RB,Travis Etienne Jr. (40706899),Travis Etienne Jr.,40706899,RB/FLEX,8600,PIT@JAX 11/12/2025 08:00PM ET,JAX,15.804638963443509,0.0,23.706958445165263,100,0,0,0
WR,DK Metcalf (40706945),DK Metcalf,40706945,WR/FLEX,7800,PIT@JAX 11/12/2025 08:00PM ET,PIT,13.22543105741552,0.0,19.83814658612328,100,0,0,0
QB,Kyler Murray (40706887),Kyler Murray,40706887,QB,7800,ARI@LAR 11/12/2025 06:00PM ET,ARI,23.080205002862687,0.0,34.62030750429403,100,0,0,0
QB,Joe Burrow (40706888),Joe Burrow,40706888,QB,7600,CIN@GB 11/12/2025 10:00PM ET,CIN,22.180315792395703,0.0,33.270473688593555,100,0,0,0
RB,Josh Jacobs (40706901),Josh Jacobs,40706901,RB/FLEX,7300,CIN@GB 11/12/2025 10:00PM ET,GB,15.453094113922122,0.0,23.179641170883183,100,0,0,0
WR,Puka Nacua (40706947),Puka Nacua,40706947,WR/FLEX,7100,ARI@LAR 11/12/2025 06:00PM ET,LAR,12.139091320492051,0.0,18.208636980738078,100,0,0,0
RB,Chase Brown (40706903),Chase Brown,40706903,RB/FLEX,7000,CIN@GB 11/12/2025 10:00PM ET,CIN,15.890539557394815,0.0,23.835809336092222,100,0,0,0
RB,James Conner (40706905),James Conner,40706905,RB/FLEX,6700,ARI@LAR 11/12/2025 06:00PM ET,ARI,15.064855724997932,0.0,22.597283587496896,100,0,0,0
WR,Brian Thomas Jr. (40706949),Brian Thomas Jr.,40706949,WR/FLEX,6600,PIT@JAX 11/12/2025 08:00PM ET,JAX,10.045948600919782,0.0,15.068922901379674,100,0,0,0
QB,Jordan Love (40706889),Jordan Love,40706889,QB,6500,CIN@GB 11/12/2025 10:00PM ET,GB,22.571917155598427,0.0,33.85787573339764,100,0,0,0
QB,Matthew Stafford (40706890),Matthew Stafford,40706890,QB,6400,ARI@LAR 11/12/2025 06:00PM ET,LAR,21.949856955434544,0.0,32.92478543315182,100,0,0,0
WR,Davante Adams (40706951),Davante Adams,40706951,WR/FLEX,6400,ARI@LAR 11/12/2025 06:00PM ET,LAR,10.98020501614774,0.0,16.47030752422161,100,0,0,0
RB,Jaylen Warren (40706907),Jaylen Warren,40706907,RB/FLEX,6300,PIT@JAX 11/12/2025 08:00PM ET,PIT,15.354277189968942,0.0,23.031415784953413,100,0,0,0
RB,Kyren Williams (40706909),Kyren Williams,40706909,RB/FLEX,6200,ARI@LAR 11/12/2025 06:00PM ET,LAR,15.438614572559112,0.0,23.15792185883867,100,0,0,0
TE,Trey McBride (40707009),Trey McBride,40707009,TE/FLEX,6100,ARI@LAR 11/12/2025 06:00PM ET,ARI,9.615081269804952,0.0,14.422621904707427,100,0,0,0
QB,Aaron Rodgers (40706891),Aaron Rodgers,40706891,QB,5900,PIT@JAX 11/12/2025 08:00PM ET,PIT,21.749531244860837,0.0,32.62429686729126,100,0,0,0
WR,Tee Higgins (40706953),Tee Higgins,40706953,WR/FLEX,5600,CIN@GB 11/12/2025 10:00PM ET,CIN,11.06692914141125,0.0,16.600393712116876,100,0,0,0
WR,Matthew Golden (40706955),Matthew Golden,40706955,WR/FLEX,5500,CIN@GB 11/12/2025 10:00PM ET,GB,12.514798538749496,0.0,18.772197808124243,100,0,0,0
QB,Trevor Lawrence (40706892),Trevor Lawrence,40706892,QB,5300,PIT@JAX 11/12/2025 08:00PM ET,JAX,21.704723842721933,0.0,32.5570857640829,100,0,0,0
QB,Jake Browning (40706894),Jake Browning,40706894,QB,5000,CIN@GB 11/12/2025 10:00PM ET,CIN,15.566325309755662,0.0,23.349487964633493,100,0,0,0
QB,Malik Willis (40706897),Malik Willis,40706897,QB,5000,CIN@GB 11/12/2025 10:00PM ET,GB,16.922190511289568,0.0,25.38328576693435,100,0,0,0
TE,Tucker Kraft (40707011),Tucker Kraft,40707011,TE/FLEX,5000,CIN@GB 11/12/2025 10:00PM ET,GB,9.582202815322674,0.0,14.373304222984011,100,0,0,0
QB,Mason Rudolph (40706895),Mason Rudolph,40706895,QB,5000,PIT@JAX 11/12/2025 08:00PM ET,PIT,16.171531226740743,0.0,24.257296840111117,100,0,0,0
QB,Nick Mullens (40706898),Nick Mullens,40706898,QB,5000,PIT@JAX 11/12/2025 08:00PM ET,JAX,15.7600968197182,0.0,23.6401452295773,100,0,0,0
QB,Jacoby Brissett (40706893),Jacoby Brissett,40706893,QB,5000,ARI@LAR 11/12/2025 06:00PM ET,ARI,15.695730274627415,0.0,23.543595411941123,100,0,0,0
QB,Jimmy Garoppolo (40706896),Jimmy Garoppolo,40706896,QB,5000,ARI@LAR 11/12/2025 06:00PM ET,LAR,16.508337331215447,0.0,24.762505996823172,100,0,0,0
WR,Christian Watson (40706957),Christian Watson,40706957,WR/FLEX,4700,CIN@GB 11/12/2025 10:00PM ET,GB,13.711148674974112,0.0,20.566723012461168,100,0,0,0
WR,Travis Hunter (40706959),Travis Hunter,40706959,WR/FLEX,4300,PIT@JAX 11/12/2025 08:00PM ET,JAX,12.23359093208298,0.0,18.35038639812447,100,0,0,0
WR,Marvin Harrison Jr. (40706961),Marvin Harrison Jr.,40706961,WR/FLEX,4200,ARI@LAR 11/12/2025 06:00PM ET,ARI,8.800813522771094,0.0,13.20122028415664,100,0,0,0
WR,Jayden Reed (40706963),Jayden Reed,40706963,WR/FLEX,3800,CIN@GB 11/12/2025 10:00PM ET,GB,10.115866286793109,0.0,15.173799430189664,100,0,0,0
WR,Calvin Austin III (40706965),Calvin Austin III,40706965,WR/FLEX,3700,PIT@JAX 11/12/2025 08:00PM ET,PIT,9.929312261168535,0.0,14.893968391752804,100,0,0,0
WR,Tutu Atwell (40706967),Tutu Atwell,40706967,WR/FLEX,3600,ARI@LAR 11/12/2025 06:00PM ET,LAR,12.680102457447592,0.0,19.02015368617139,100,0,0,0
WR,Andrei Iosivas (40706969),Andrei Iosivas,40706969,WR/FLEX,3500,CIN@GB 11/12/2025 10:00PM ET,CIN,12.583744795388547,0.0,18.87561719308282,100,0,0,0
WR,Zay Jones (40706971),Zay Jones,40706971,WR/FLEX,3400,ARI@LAR 11/12/2025 06:00PM ET,ARI,10.551635113421527,0.0,15.827452670132292,100,0,0,0
DST,Steelers  (40707045),Steelers ,40707045,DST,3300,PIT@JAX 11/12/2025 08:00PM ET,PIT,3.42669094124053,0.0,5.1400364118607955,100,0,0,0
WR,Michael Wilson (40706973),Michael Wilson,40706973,WR/FLEX,3300,ARI@LAR 11/12/2025 06:00PM ET,ARI,10.659004317128932,0.0,15.988506475693399,100,0,0,0
TE,Mike Gesicki (40707013),Mike Gesicki,40707013,TE/FLEX,3200,CIN@GB 11/12/2025 10:00PM ET,CIN,8.454740231665586,0.0,12.682110347498378,100,0,0,0
DST,Packers  (40707046),Packers ,40707046,DST,3200,CIN@GB 11/12/2025 10:00PM ET,GB,3.01594178577449,0.0,4.523912678661735,100,0,0,0
WR,Roman Wilson (40706975),Roman Wilson,40706975,WR/FLEX,3200,PIT@JAX 11/12/2025 08:00PM ET,PIT,11.329383310805047,0.0,16.99407496620757,100,0,0,0
WR,Tim Patrick (40706977),Tim Patrick,40706977,WR/FLEX,3100,PIT@JAX 11/12/2025 08:00PM ET,JAX,10.173518860413928,0.0,15.260278290620892,100,0,0,0
DST,Jaguars  (40707047),Jaguars ,40707047,DST,3100,PIT@JAX 11/12/2025 08:00PM ET,JAX,3.449825000984009,0.0,5.174737501476013,100,0,0,0
RB,Ben Sims (40706913),Ben Sims,40706913,RB/FLEX,3000,CIN@GB 11/12/2025 10:00PM ET,GB,11.539088715627509,0.0,17.308633073441264,100,0,0,0
RB,Samaje Perine (40706915),Samaje Perine,40706915,RB/FLEX,3000,CIN@GB 11/12/2025 10:00PM ET,CIN,12.371882679209923,0.0,18.557824018814884,100,0,0,0
RB,MarShawn Lloyd (40706921),MarShawn Lloyd,40706921,RB/FLEX,3000,CIN@GB 11/12/2025 10:00PM ET,GB,11.330613372737776,0.0,16.995920059106666,100,0,0,0
RB,Tahj Brooks (40706931),Tahj Brooks,40706931,RB/FLEX,3000,CIN@GB 11/12/2025 10:00PM ET,CIN,12.371882679209923,0.0,18.557824018814884,100,0,0,0
RB,Chris Brooks (40706935),Chris Brooks,40706935,RB/FLEX,3000,CIN@GB 11/12/2025 10:00PM ET,GB,11.330613372737776,0.0,16.995920059106666,100,0,0,0
RB,Tanner Hudson (40706941),Tanner Hudson,40706941,RB/FLEX,3000,CIN@GB 11/12/2025 10:00PM ET,CIN,12.359515497852058,0.0,18.539273246778087,100,0,0,0
WR,Romeo Doubs (40706983),Romeo Doubs,40706983,WR/FLEX,3000,CIN@GB 11/12/2025 10:00PM ET,GB,10.446534035850991,0.0,15.669801053776487,100,0,0,0
WR,Jermaine Burton (40706989),Jermaine Burton,40706989,WR/FLEX,3000,CIN@GB 11/12/2025 10:00PM ET,CIN,6.587973280570964,0.0,9.881959920856445,100,0,0,0
WR,Mitch Tinsley (40706997),Mitch Tinsley,40706997,WR/FLEX,3000,CIN@GB 11/12/2025 10:00PM ET,CIN,6.311271181952469,0.0,9.466906772928702,100,0,0,0
WR,Dontayvion Wicks (40707001),Dontayvion Wicks,40707001,WR/FLEX,3000,CIN@GB 11/12/2025 10:00PM ET,GB,7.686886615147756,0.0,11.530329922721634,100,0,0,0
WR,Charlie Jones (40707003),Charlie Jones,40707003,WR/FLEX,3000,CIN@GB 11/12/2025 10:00PM ET,CIN,6.379702883761343,0.0,9.569554325642015,100,0,0,0
WR,Savion Williams (40707005),Savion Williams,40707005,WR/FLEX,3000,CIN@GB 11/12/2025 10:00PM ET,GB,7.317950483656428,0.0,10.976925725484643,100,0,0,0
RB,Tank Bigsby (40706911),Tank Bigsby,40706911,RB/FLEX,3000,PIT@JAX 11/12/2025 08:00PM ET,JAX,11.77493654956686,0.0,17.66240482435029,100,0,0,0
RB,Kaleb Johnson (40706923),Kaleb Johnson,40706923,RB/FLEX,3000,PIT@JAX 11/12/2025 08:00PM ET,PIT,11.671595578502926,0.0,17.50739336775439,100,0,0,0
RB,Kenneth Gainwell (40706925),Kenneth Gainwell,40706925,RB/FLEX,3000,PIT@JAX 11/12/2025 08:00PM ET,PIT,11.491388078716886,0.0,17.237082118075328,100,0,0,0
RB,Bhayshul Tuten (40706927),Bhayshul Tuten,40706927,RB/FLEX,3000,PIT@JAX 11/12/2025 08:00PM ET,JAX,11.416288290188762,0.0,17.124432435283143,100,0,0,0
RB,Connor Heyward (40706937),Connor Heyward,40706937,RB/FLEX,3000,PIT@JAX 11/12/2025 08:00PM ET,PIT,11.765232808783908,0.0,17.647849213175864,100,0,0,0
WR,Robert Woods (40706979),Robert Woods,40706979,WR/FLEX,3000,PIT@JAX 11/12/2025 08:00PM ET,PIT,7.570233215772786,0.0,11.355349823659179,100,0,0,0
WR,Dyami Brown (40706985),Dyami Brown,40706985,WR/FLEX,3000,PIT@JAX 11/12/2025 08:00PM ET,JAX,7.577973204044179,0.0,11.36695980606627,100,0,0,0
WR,Parker Washington (40706991),Parker Washington,40706991,WR/FLEX,3000,PIT@JAX 11/12/2025 08:00PM ET,JAX,7.577973204044179,0.0,11.36695980606627,100,0,0,0
WR,Scotty Miller (40706993),Scotty Miller,40706993,WR/FLEX,3000,PIT@JAX 11/12/2025 08:00PM ET,PIT,6.835336244173126,0.0,10.253004366259688,100,0,0,0
WR,Ben Skowronek (40707007),Ben Skowronek,40707007,WR/FLEX,3000,PIT@JAX 11/12/2025 08:00PM ET,PIT,6.835336244173126,0.0,10.253004366259688,100,0,0,0
RB,Trey Benson (40706917),Trey Benson,40706917,RB/FLEX,3000,ARI@LAR 11/12/2025 06:00PM ET,ARI,13.482639066102353,0.0,20.22395859915353,100,0,0,0
RB,Blake Corum (40706919),Blake Corum,40706919,RB/FLEX,3000,ARI@LAR 11/12/2025 06:00PM ET,LAR,11.660199550750056,0.0,17.490299326125083,100,0,0,0
RB,Jarquez Hunter (40706929),Jarquez Hunter,40706929,RB/FLEX,3000,ARI@LAR 11/12/2025 06:00PM ET,LAR,11.660199550750056,0.0,17.490299326125083,100,0,0,0
RB,Emari Demercado (40706933),Emari Demercado,40706933,RB/FLEX,3000,ARI@LAR 11/12/2025 06:00PM ET,ARI,12.7617710291967,0.0,19.14265654379505,100,0,0,0
RB,Colby Parkinson (40706939),Colby Parkinson,40706939,RB/FLEX,3000,ARI@LAR 11/12/2025 06:00PM ET,LAR,11.81037246723842,0.0,17.715558700857628,100,0,0,0
WR,Greg Dortch (40706981),Greg Dortch,40706981,WR/FLEX,3000,ARI@LAR 11/12/2025 06:00PM ET,ARI,9.444207278419816,0.0,14.166310917629723,100,0,0,0
WR,Jordan Whittington (40706987),Jordan Whittington,40706987,WR/FLEX,3000,ARI@LAR 11/12/2025 06:00PM ET,LAR,7.435798958008528,0.0,11.153698437012793,100,0,0,0
WR,Konata Mumpfield (40706995),Konata Mumpfield,40706995,WR/FLEX,3000,ARI@LAR 11/12/2025 06:00PM ET,LAR,7.236454435347891,0.0,10.854681653021837,100,0,0,0
WR,Xavier Weaver (40706999),Xavier Weaver,40706999,WR/FLEX,3000,ARI@LAR 11/12/2025 06:00PM ET,ARI,9.18502189429033,0.0,13.777532841435495,100,0,0,0
DST,Cardinals  (40707048),Cardinals ,40707048,DST,3000,ARI@LAR 11/12/2025 06:00PM ET,ARI,2.6112337617394163,0.0,3.9168506426091243,100,0,0,0
DST,Bengals  (40707049),Bengals ,40707049,DST,2900,CIN@GB 11/12/2025 10:00PM ET,CIN,2.9232003653061014,0.0,4.384800547959152,100,0,0,0
TE,Tyler Higbee (40707015),Tyler Higbee,40707015,TE/FLEX,2900,ARI@LAR 11/12/2025 06:00PM ET,LAR,7.676188290881157,0.0,11.514282436321736,100,0,0,0
