Player,TeamAbbrev,Position,Salary,Opponent,IsHome,PredFPTS,BaseValue,StackBonus,Scarcity,OwnershipLeverage,StackRate,QBStackRate,BringBackRate,RBDSTRate,LowVarBonus,MaddenEdge
Jaylen Waddle,MIA,WR,4700,KC,1.0,30.190477600720193,6.423505872493658,2.8883769633507854,1.0102987298974575,1.0,0.8900523560209425,0.8481675392670157,0.4816753926701571,0.5078534031413613,0.0,37.48916787395989
Tua Tagovailoa,MIA,QB,5500,KC,1.0,23.21003996474262,4.2200072663168395,3.087236842105263,1.0102987298974575,1.0,0.9868421052631579,0.9210526315789473,0.631578947368421,0.42105263157894735,0.0,26.324670854121827
J.K. Dobbins,DEN,RB,6400,LV,1.0,30.2998909340104,4.734357958439125,3.3910852713178294,1.0194142071596901,0.5921724333522405,1.0,0.8914728682170543,0.5736434108527132,0.689922480620155,0.1,26.057970257212816
Joe Burrow,CIN,QB,7800,DAL,0.0,26.83204059970218,3.440005205090023,3.4175,1.0102987298974575,1.0,1.0,0.9375,0.6458333333333334,0.5,0.0,23.75458380002704
Rashee Rice,KC,WR,6900,MIA,0.0,24.753105833632887,3.587406642555491,2.7104448742746614,1.0102987298974575,1.0,0.9671179883945842,0.8085106382978723,0.3481624758220503,0.4274661508704062,0.0,19.647214632596906
Mike Gesicki,CIN,TE,3300,DAL,0.0,15.09068751375687,4.572935610229355,3.3842105263157896,0.9148589038612605,0.3512516046213094,1.0,0.9078947368421053,0.5526315789473685,0.5789473684210527,0.1,19.131225913236825
Chase Brown,CIN,RB,6800,DAL,0.0,28.94543936957691,4.256682260231899,3.282053571428572,1.0194142071596901,-0.08307926829268292,1.0,0.9017857142857143,0.5357142857142857,0.36607142857142855,0.1,13.058682812193274
Courtland Sutton,DEN,WR,6400,LV,1.0,12.019239349041525,1.8780061482877384,3.4657407407407406,1.0102987298974575,0.9017615176151763,1.0,1.0,0.5925925925925926,0.6111111111111112,0.0,12.505439040553618
Darren Waller,MIA,TE,3100,KC,1.0,10.101536039666945,3.2585600127957886,3.0940112994350284,0.9148589038612605,0.2678410117434507,0.8983050847457628,0.903954802259887,0.655367231638418,0.3954802259887006,0.0,11.694092762228081
Tyreek Hill,MIA,WR,6800,KC,1.0,11.607118015394745,1.706929119910992,2.9061567164179105,1.0102987298974575,1.0,0.9440298507462687,0.8171641791044776,0.5373134328358209,0.44776119402985076,0.0,10.023382884248322
De'Von Achane,MIA,RB,7000,KC,1.0,17.53923967223905,2.505605667462721,2.7882224539395124,1.0194142071596901,-0.0077765995051253915,0.857487922705314,0.8188405797101449,0.3864734299516908,0.41545893719806765,0.08112100466414991,7.066433724202214
CeeDee Lamb,DAL,WR,5700,CIN,1.0,17.864952872013248,3.1342022582479383,1.3823482428115015,1.0102987298974575,0.29230438697004407,1.0,0.05990415335463259,0.04552715654952077,0.036741214057507986,0.0,5.656647416255514
Bengals,CIN,DST,3000,DAL,0.0,2.3565717877508083,0.7855239292502694,3.559333333333334,1.0102987298974575,1.0,1.0,0.8666666666666667,0.6666666666666666,0.6,0.0,5.649472303771625
Jake Ferguson,DAL,TE,4700,CIN,1.0,13.989243114635046,2.9764347052414992,1.481815276446149,0.9148589038612605,0.17682310291252556,1.0,0.061361457334611694,0.0447427293064877,0.035794183445190156,0.1,4.748492237670795
Isiah Pacheco,KC,RB,6300,MIA,0.0,24.70246282092816,3.9210258445917714,2.7301070663811564,1.0194142071596901,-0.5808362369337979,0.9635974304068522,0.7965738758029979,0.35974304068522484,0.4603854389721627,0.0,4.574185748105916
Javonte Williams,DAL,RB,4300,CIN,1.0,10.105486905917658,2.350113233934339,1.4762468604233945,1.0194142071596901,0.16500421952602953,1.0,0.06315034086831718,0.040186580552565486,0.03085755292429135,0.1,4.12027264847305
Elijah Mitchell,KC,RB,3000,MIA,0.0,9.30479228373522,3.1015974279117398,1.0,1.0194142071596901,0.0,0.0,0.0,0.0,0.0,0.0,3.1618124829031804
Dee Eskridge,MIA,WR,3000,KC,1.0,7.245250318219895,2.415083439406632,1.0,1.0102987298974575,0.0,0.0,0.0,0.0,0.0,0.0,2.4399557314289035
Malik Washington,MIA,WR,3000,KC,1.0,7.212200948135598,2.404066982711866,1.0,1.0102987298974575,0.0,0.0,0.0,0.0,0.0,0.0,2.428825819222211
Tahj Washington,MIA,WR,3000,KC,1.0,6.961025735494939,2.320341911831646,1.0,1.0102987298974575,0.0,0.0,0.0,0.0,0.0,0.0,2.3442384864513506
