Player,TeamAbbrev,Position,Salary,Opponent,IsHome,PredFPTS,BaseValue,StackBonus,Scarcity,OwnershipLeverage,StackRate,QBStackRate,BringBackRate,RBDSTRate,LowVarBonus,MaddenEdge
Tua Tagovailoa,MIA,QB,5500,ATL,0.0,20.94995216053806,3.80908221100692,3.087236842105263,1.006585314937468,1.0,0.9868421052631579,0.9210526315789473,0.631578947368421,0.42105263157894735,0.0,23.673958407688268
Darren Waller,MIA,TE,3400,ATL,0.0,10.873832178702244,3.198185934912425,3.0940112994350284,0.9358741681790683,0.27706000574217615,0.8983050847457628,0.903954802259887,0.655367231638418,0.3954802259887006,0.0,11.82644914616597
Jaylen Waddle,MIA,WR,5000,ATL,0.0,9.973771344911249,1.9947542689822497,2.8883769633507854,1.006585314937468,1.0,0.8900523560209425,0.8481675392670157,0.4816753926701571,0.5078534031413613,0.0,11.599088487239033
Tyreek Hill,MIA,WR,7100,ATL,0.0,11.812161035118917,1.6636846528336504,2.9061567164179105,1.006585314937468,1.0,0.9440298507462687,0.8171641791044776,0.5373134328358209,0.44776119402985076,0.0,9.733535707145569
Kyle Pitts Sr.,ATL,TE,4700,MIA,1.0,12.624923145523912,2.6861538607497684,2.1716239316239316,0.9358741681790683,0.7682369310276287,0.9230769230769231,0.9145299145299145,0.29914529914529914,0.39316239316239315,0.0,9.653247053251954
Bryce Young,CAR,QB,5300,WAS,1.0,22.599363793307056,4.264030904397558,1.0233333333333334,1.006585314937468,1.0,0.0,0.0,0.0,0.0,0.0,8.784520289849844
Ja'Tavion Sanders,CAR,TE,3100,WAS,1.0,7.514226995619824,2.423944192135427,1.6063636363636364,0.9358741681790683,1.0,0.0,0.7727272727272727,0.0,0.36363636363636365,0.1,7.2880935186356535
Jauan Jennings,SF,WR,4100,LV,0.0,10.551214469348665,2.573466943743577,1.9377011494252874,1.006585314937468,0.18898690189788825,0.7816091954022989,0.7241379310344828,0.16091954022988506,0.47126436781609193,0.0,5.968058225507998
De'Von Achane,MIA,RB,7300,ATL,0.0,15.189735058097458,2.080785624396912,2.7882224539395124,1.0132772948705702,-0.000561734636557749,0.857487922705314,0.8188405797101449,0.3864734299516908,0.41545893719806765,0.08112100466414991,5.875421708255467
Kirk Cousins,ATL,QB,5000,MIA,1.0,16.642693670579305,3.3285387341158614,1.0,1.006585314937468,0.0,0.0,0.0,0.0,0.0,0.0,3.3504582099615754
