Player,TeamAbbrev,Position,Salary,Opponent,IsHome,PredFPTS,BaseValue,StackBonus,Scarcity,OwnershipLeverage,StackRate,QBStackRate,BringBackRate,RBDSTRate,LowVarBonus,MaddenEdge
Kalif Raymond,DET,WR,3600,IND,1.0,10.721241429477848,2.9781226192994024,2.070869565217391,1.006585314937468,1.0,0.9347826086956522,0.6956521739130435,0.34782608695652173,0.21739130434782608,0.0,12.415834259228404
DeAndre Hopkins,BAL,WR,3700,TEN,0.0,8.64018207138875,2.335184343618581,2.1510588235294117,1.006585314937468,1.0,0.7647058823529411,0.8705882352941177,0.3411764705882353,0.4117647058823529,0.0,10.112395413494244
Jameson Williams,DET,WR,5700,IND,1.0,12.658550495155742,2.2207983324834633,1.9853811659192826,1.006585314937468,1.0,0.874439461883408,0.7309417040358744,0.25112107623318386,0.27802690582959644,0.0,8.876333400111529
Chig Okonkwo,TEN,TE,3100,BAL,1.0,9.809552184571416,3.164371672442392,1.6537704918032787,0.9358741681790683,0.6957682043461685,0.26229508196721313,0.5737704918032787,0.0,0.5245901639344263,0.1,8.305134586991462
Tony Pollard,TEN,RB,7300,BAL,1.0,15.100989641105322,2.068628717959633,1.6475609756097562,1.0132772948705702,1.0,0.3902439024390244,0.5853658536585366,0.0,0.3902439024390244,0.1,6.906887036429604
Jahmyr Gibbs,DET,RB,8400,IND,1.0,20.18127556899286,2.4025328058324833,1.8115302491103205,1.0132772948705702,0.47248199950343467,0.7099644128113879,0.6387900355871886,0.2117437722419929,0.17615658362989323,0.0,6.493714976033082
Alec Pierce,IND,WR,4700,DET,0.0,10.235705257126511,2.1778096291758535,1.4127272727272726,1.006585314937468,1.0,0.0,0.6818181818181818,0.0,0.2727272727272727,0.0,6.193823548228114
Jonathan Taylor,IND,RB,7200,DET,0.0,14.412778519152873,2.001774794326788,1.4958620689655173,1.0132772948705702,1.0,0.0,0.7241379310344828,0.0,0.13793103448275862,0.1,6.06827247637736
Javonte Williams,DAL,RB,4300,LAC,1.0,13.870130890287953,3.225611834950687,1.4762468604233945,1.0132772948705702,0.17347544486802355,1.0,0.06315034086831718,0.040186580552565486,0.03085755292429135,0.1,5.662046197183586
Zay Flowers,BAL,WR,5200,TEN,0.0,12.346296060262608,2.3742877038966554,1.9598870056497175,1.006585314937468,0.16883458152673753,0.672316384180791,0.9152542372881356,0.1864406779661017,0.3446327683615819,0.0,5.474796983942035
Lamar Jackson,BAL,QB,7400,TEN,0.0,20.750652708427783,2.8041422578956463,1.87,1.006585314937468,0.009188882586500314,0.8195121951219512,0.6292682926829268,0.16585365853658537,0.3902439024390244,0.0,5.326779215697068
George Pickens,DAL,WR,5100,LAC,1.0,9.491936017665493,1.8611639250324497,1.3882253521126762,1.006585314937468,0.6104720790976186,1.0,0.07098591549295774,0.049577464788732394,0.029295774647887324,0.0,4.188402280127944
Jake Ferguson,DAL,TE,4600,LAC,1.0,11.061066477323813,2.4045796689834376,1.481815276446149,0.9358741681790683,0.18538026822175702,1.0,0.061361457334611694,0.0447427293064877,0.035794183445190156,0.1,3.9528323244240915
CeeDee Lamb,DAL,WR,6000,LAC,1.0,12.499849355715446,2.083308225952574,1.3823482428115015,1.006585314937468,0.3017012642422351,1.0,0.05990415335463259,0.04552715654952077,0.036741214057507986,0.0,3.773400566505185
Will Levis,TEN,QB,5000,BAL,1.0,18.247424051235612,3.6494848102471225,1.0,1.006585314937468,0.0,0.0,0.0,0.0,0.0,0.0,3.673517817082105
Scott Matlock,LAC,RB,3000,DAL,0.0,10.061197475045999,3.3537324916819995,1.0,1.0132772948705702,0.0,0.0,0.0,0.0,0.0,0.0,3.3982609868910734
Patrick Ricard,BAL,RB,3000,TEN,0.0,10.030862984337688,3.3436209947792292,1.0,1.0132772948705702,0.0,0.0,0.0,0.0,0.0,0.0,3.3880152366623424
Tyjae Spears,TEN,RB,3000,BAL,1.0,9.819076712862211,3.2730255709540703,1.0,1.0132772948705702,0.0,0.0,0.0,0.0,0.0,0.0,3.3164824965785438
Will Mallory,IND,RB,3000,DET,0.0,9.8090393690217,3.2696797896739,1.0,1.0132772948705702,0.0,0.0,0.0,0.0,0.0,0.0,3.3130922923737445
Kyle Allen,DET,QB,5000,IND,1.0,16.44383456409968,3.2887669128199364,1.0,1.006585314937468,0.0,0.0,0.0,0.0,0.0,0.0,3.31042447869678
Craig Reynolds,DET,RB,3000,IND,1.0,9.75410395485898,3.2513679849529935,1.0,1.0132772948705702,0.0,0.0,0.0,0.0,0.0,0.0,3.294537356421946
Najee Harris,LAC,RB,3000,DAL,0.0,9.69653806018009,3.2321793533933634,1.0,1.0132772948705702,0.0,0.0,0.0,0.0,0.0,0.0,3.275093951742936
Julius Chestnut,TEN,RB,3000,BAL,1.0,9.671661204724929,3.223887068241643,1.0,1.0132772948705702,0.0,0.0,0.0,0.0,0.0,0.0,3.266691567476105
Justin Herbert,LAC,QB,6600,DAL,0.0,21.313368945669367,3.229298325101419,1.0,1.006585314937468,0.0,0.0,0.0,0.0,0.0,0.0,3.2505642715992495
Miles Sanders,DAL,RB,3000,LAC,1.0,9.557982060541839,3.185994020180613,1.0,1.0132772948705702,0.0,0.0,0.0,0.0,0.0,0.0,3.2282954022424244
Kalel Mullings,TEN,RB,3000,BAL,1.0,9.438899876087117,3.146299958695706,1.0,1.0132772948705702,0.0,0.0,0.0,0.0,0.0,0.0,3.1880743109985716
