Player,TeamAbbrev,Position,Salary,Opponent,IsHome,PredFPTS,BaseValue,StackBonus,Scarcity,OwnershipLeverage,StackRate,QBStackRate,BringBackRate,RBDSTRate,LowVarBonus,MaddenEdge
Trevor Lawrence,JAX,QB,5300,ARI,1.0,26.06202351690396,4.917362927717728,1.9053333333333333,1.0102987298974575,1.0,1.0,1.0,0.0,0.3333333333333333,0.0,18.931413036092035
C.J. Stroud,HOU,QB,5400,SF,1.0,22.46949954542989,4.161018434338868,1.767719298245614,1.0102987298974575,1.0,0.9824561403508771,0.9122807017543859,0.0,0.08771929824561403,0.0,14.862530048249434
Caleb Williams,CHI,QB,5500,GB,1.0,31.028098073907813,5.641472377074148,1.8461333333333334,1.0102987298974575,0.36926829268292677,1.0,0.9733333333333334,0.0,0.22666666666666666,0.0,14.407674506367096
Tank Dell,HOU,WR,3300,SF,1.0,10.941884347585377,3.3157225295713264,1.6263636363636365,1.0102987298974575,1.0,0.5454545454545454,0.7272727272727273,0.0,0.18181818181818182,0.0,10.89621435583533
D'Andre Swift,CHI,RB,6100,GB,1.0,16.23768224386857,2.661915121945667,1.8043478260869565,1.0194142071596901,1.0,0.8260869565217391,0.8115942028985508,0.0,0.14492753623188406,0.1,9.792535207211499
Christian Watson,GB,WR,5300,CHI,0.0,15.425094746754604,2.910395235236718,1.6344827586206896,1.0102987298974575,1.0,0.6206896551724138,0.7586206896551724,0.0,0.2413793103448276,0.0,9.611963592955124
Jauan Jennings,SF,WR,3800,HOU,0.0,10.657807752043349,2.8046862505377232,1.78875,1.0102987298974575,0.8338414634146342,0.8035714285714286,0.6785714285714286,0.0,0.5178571428571429,0.0,9.294917238807958
Josh Jacobs,GB,RB,7800,CHI,0.0,19.024999530791135,2.4391025039475815,1.7992857142857144,1.0194142071596901,1.0,0.8571428571428571,0.6428571428571429,0.0,0.2857142857142857,0.1,8.94768860323852
Matthew Golden,GB,WR,6400,CHI,0.0,15.662611849107089,2.4472831014229826,1.5978947368421053,1.0102987298974575,1.0,0.631578947368421,0.5789473684210527,0.0,0.3157894736842105,0.0,7.901547957397755
Dalton Schultz,HOU,TE,3300,SF,1.0,9.878997733199165,2.9936356767270196,1.435301204819277,0.9148589038612605,1.0,0.6385542168674698,0.42168674698795183,0.0,0.07228915662650602,0.0,7.861874560281276
Brian Thomas Jr.,JAX,WR,6200,ARI,1.0,12.793483521271048,2.0634650840759754,1.6488888888888888,1.0102987298974575,1.0,0.4603174603174603,0.9047619047619048,0.0,0.20634920634920634,0.0,6.874930604414415
