Player,TeamAbbrev,Position,Salary,Opponent,IsHome,PredFPTS,BaseValue,StackBonus,Scarcity,OwnershipLeverage,StackRate,QBStackRate,BringBackRate,RBDSTRate,LowVarBonus,MaddenEdge
Courtland Sutton,DEN,WR,6200,PHI,0.0,11.747698022790226,1.894790003675843,3.4657407407407406,1.006585314937468,0.9155900086132642,1.0,1.0,0.5925925925925926,0.6111111111111112,0.0,12.66223326411539
J.K. Dobbins,DEN,RB,6600,PHI,0.0,14.661756909547336,2.2214783196283845,3.3910852713178294,1.0132772948705702,0.6037497746529655,1.0,0.8914728682170543,0.5736434108527132,0.689922480620155,0.1,12.241812102783081
Rashee Rice,KC,WR,7100,MIN,0.0,10.331275819861022,1.455109270402961,2.7104448742746614,1.006585314937468,1.0,0.9671179883945842,0.8085106382978723,0.3481624758220503,0.4274661508704062,0.0,7.939931805083068
DeVonta Smith,PHI,WR,6900,DEN,1.0,14.561118342248895,2.1103070061230285,1.7457954545454546,1.006585314937468,0.17547568710359415,0.7159090909090909,0.9318181818181818,0.0,0.2159090909090909,0.0,4.359164320309359
Russell Wilson,NYG,QB,5300,SEA,1.0,21.259244711345644,4.0111782474237065,1.0,1.006585314937468,0.0,0.0,0.0,0.0,0.0,0.0,4.037593119453312
J.J. McCarthy,MIN,QB,5100,KC,1.0,20.318921175286256,3.984102191232599,1.0,1.006585314937468,0.0,0.0,0.0,0.0,0.0,0.0,4.010338758904922
Seahawks,SEA,DST,2600,NYG,0.0,2.5692336867340813,0.9881668025900313,1.9427777777777777,1.006585314937468,1.0,0.8888888888888888,1.0,0.0,0.5555555555555556,0.0,3.8648618334542704
Kenneth Walker III,SEA,RB,7600,NYG,0.0,16.858766247812934,2.2182587168174916,1.7762962962962963,1.0132772948705702,-0.042204995693367865,0.5555555555555556,0.8981481481481481,0.0,0.23148148148148148,0.1,3.824093354548531
Jarrett Stidham,DEN,QB,5000,PHI,0.0,17.499780991080847,3.4999561982161693,1.0,1.006585314937468,0.0,0.0,0.0,0.0,0.0,0.0,3.523004512048766
Jalen Milroe,SEA,QB,5000,NYG,0.0,17.20418164679287,3.4408363293585733,1.0,1.006585314937468,0.0,0.0,0.0,0.0,0.0,0.0,3.4634953202356806
C.J. Ham,MIN,RB,3000,KC,1.0,10.043896744042284,3.3479655813474283,1.0,1.0132772948705702,0.0,0.0,0.0,0.0,0.0,0.0,3.392417507587498
Jordan Mason,MIN,RB,3000,KC,1.0,9.946912857109862,3.3156376190366204,1.0,1.0132772948705702,0.0,0.0,0.0,0.0,0.0,0.0,3.3596603173885247
A.J. Dillon,PHI,RB,3000,DEN,1.0,9.758522477851715,3.252840825950572,1.0,1.0132772948705702,0.0,0.0,0.0,0.0,0.0,0.0,3.2960297527637468
Michael Burton,DEN,RB,3000,PHI,0.0,9.725351167767545,3.2417837225891817,1.0,1.0132772948705702,0.0,0.0,0.0,0.0,0.0,0.0,3.284825840980613
Zach Charbonnet,SEA,RB,3000,NYG,0.0,9.682194826432584,3.227398275477528,1.0,1.0132772948705702,0.0,0.0,0.0,0.0,0.0,0.0,3.2702493940458126
Brady Russell,SEA,RB,3000,NYG,0.0,9.678315470955287,3.2261051569850956,1.0,1.0132772948705702,0.0,0.0,0.0,0.0,0.0,0.0,3.2689391064378537
Chris Manhertz,NYG,RB,3000,SEA,1.0,9.675357973699079,3.22511932456636,1.0,1.0132772948705702,0.0,0.0,0.0,0.0,0.0,0.0,3.2679401848314016
Cam Skattebo,NYG,RB,3000,SEA,1.0,9.652081840835297,3.2173606136117656,1.0,1.0132772948705702,0.0,0.0,0.0,0.0,0.0,0.0,3.2600784591836476
Elijah Mitchell,KC,RB,3000,MIN,0.0,9.622741566357563,3.2075805221191875,1.0,1.0132772948705702,0.0,0.0,0.0,0.0,0.0,0.0,3.2501685145324615
