Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Saquon Barkley (40741882),Saquon Barkley,40741882,RB/FLEX,8500,PHI@TB 11/14/2025 06:00PM ET,PHI,17.85
QB,Kyler Murray (40741870),Kyler Murray,40741870,QB,7800,WAS@ARI 11/14/2025 10:00PM ET,ARI,30.98
RB,Alvin Kamara (40741884),Alvin Kamara,40741884,RB/FLEX,7700,CLE@NO 11/14/2025 08:00PM ET,NO,15.74
QB,Jalen Hurts (40741871),Jalen Hurts,40741871,QB,7700,PHI@TB 11/14/2025 06:00PM ET,PHI,27.12
QB,Jayden Daniels (40741872),Jayden Daniels,40741872,QB,7400,WAS@ARI 11/14/2025 10:00PM ET,WAS,28.56
WR,Terry McLaurin (40741924),Terry McLaurin,40741924,WR/FLEX,6900,WAS@ARI 11/14/2025 10:00PM ET,WAS,15.34
WR,Mike Evans (40741922),Mike Evans,40741922,WR/FLEX,6900,PHI@TB 11/14/2025 06:00PM ET,TB,17.46
WR,Chris Olave (40741926),Chris Olave,40741926,WR/FLEX,6800,CLE@NO 11/14/2025 08:00PM ET,NO,11.05
RB,Bucky Irving (40741886),Bucky Irving,40741886,RB/FLEX,6800,PHI@TB 11/14/2025 06:00PM ET,TB,19.21
RB,James Conner (40741888),James Conner,40741888,RB/FLEX,6700,WAS@ARI 11/14/2025 10:00PM ET,ARI,17.66
WR,DeVonta Smith (40741928),DeVonta Smith,40741928,WR/FLEX,6600,PHI@TB 11/14/2025 06:00PM ET,PHI,15.45
TE,Trey McBride (40741986),Trey McBride,40741986,TE/FLEX,6400,WAS@ARI 11/14/2025 10:00PM ET,ARI,14.3
QB,Baker Mayfield (40741873),Baker Mayfield,40741873,QB,5800,PHI@TB 11/14/2025 06:00PM ET,TB,22.96
RB,Jerome Ford (40741890),Jerome Ford,40741890,RB/FLEX,5700,CLE@NO 11/14/2025 08:00PM ET,CLE,18.12
WR,Deebo Samuel Sr. (40741930),Deebo Samuel Sr.,40741930,WR/FLEX,5500,WAS@ARI 11/14/2025 10:00PM ET,WAS,12.88
WR,A.J. Brown (40741932),A.J. Brown,40741932,WR/FLEX,5400,PHI@TB 11/14/2025 06:00PM ET,PHI,11.82
WR,Marvin Harrison Jr. (40741934),Marvin Harrison Jr.,40741934,WR/FLEX,5300,WAS@ARI 11/14/2025 10:00PM ET,ARI,13.11
QB,Joe Flacco (40741874),Joe Flacco,40741874,QB,5300,CLE@NO 11/14/2025 08:00PM ET,CLE,19.84
RB,Austin Ekeler (40741892),Austin Ekeler,40741892,RB/FLEX,5200,WAS@ARI 11/14/2025 10:00PM ET,WAS,12.92
WR,Cedric Tillman (40741936),Cedric Tillman,40741936,WR/FLEX,5200,CLE@NO 11/14/2025 08:00PM ET,CLE,13.41
WR,Jerry Jeudy (40741938),Jerry Jeudy,40741938,WR/FLEX,5200,CLE@NO 11/14/2025 08:00PM ET,CLE,13.22
WR,Chris Godwin Jr. (40741940),Chris Godwin Jr.,40741940,WR/FLEX,5200,PHI@TB 11/14/2025 06:00PM ET,TB,12.75
QB,Spencer Rattler (40741875),Spencer Rattler,40741875,QB,5100,CLE@NO 11/14/2025 08:00PM ET,NO,16.16
QB,Jacoby Brissett (40741876),Jacoby Brissett,40741876,QB,5000,WAS@ARI 11/14/2025 10:00PM ET,ARI,0
QB,Marcus Mariota (40741877),Marcus Mariota,40741877,QB,5000,WAS@ARI 11/14/2025 10:00PM ET,WAS,0
QB,Tyler Shough (40741878),Tyler Shough,40741878,QB,5000,CLE@NO 11/14/2025 08:00PM ET,NO,0
QB,Shedeur Sanders (40741879),Shedeur Sanders,40741879,QB,5000,CLE@NO 11/14/2025 08:00PM ET,CLE,0
QB,Teddy Bridgewater (40741880),Teddy Bridgewater,40741880,QB,5000,PHI@TB 11/14/2025 06:00PM ET,TB,0
QB,Sam Howell (40741881),Sam Howell,40741881,QB,5000,PHI@TB 11/14/2025 06:00PM ET,PHI,0
WR,Emeka Egbuka (40741942),Emeka Egbuka,40741942,WR/FLEX,4100,PHI@TB 11/14/2025 06:00PM ET,TB,11.62
