Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Christian McCaffrey (40703740),Christian McCaffrey,40703740,RB/FLEX,8800,SF@LV 11/11/2025 10:00PM ET,SF,17.39
RB,Bijan Robinson (40703742),Bijan Robinson,40703742,RB/FLEX,8600,MIA@ATL 11/11/2025 06:00PM ET,ATL,19.22
QB,Jayden Daniels (40703728),Jayden Daniels,40703728,QB,7700,WAS@CAR 11/11/2025 08:00PM ET,WAS,29.25
WR,Terry McLaurin (40703780),Terry McLaurin,40703780,WR/FLEX,7300,WAS@CAR 11/11/2025 08:00PM ET,WAS,15.51
RB,De'Von Achane (40703744),De'Von Achane,40703744,RB/FLEX,7300,MIA@ATL 11/11/2025 06:00PM ET,MIA,16.3
RB,Ashton Jeanty (40703746),Ashton Jeanty,40703746,RB/FLEX,7200,SF@LV 11/11/2025 10:00PM ET,LV,15.45
WR,Tyreek Hill (40703782),Tyreek Hill,40703782,WR/FLEX,7100,MIA@ATL 11/11/2025 06:00PM ET,MIA,15.32
WR,Brandon Aiyuk (40703784),Brandon Aiyuk,40703784,WR/FLEX,7000,SF@LV 11/11/2025 10:00PM ET,SF,12.75
WR,Drake London (40703786),Drake London,40703786,WR/FLEX,6400,MIA@ATL 11/11/2025 06:00PM ET,ATL,8.9
QB,Michael Penix Jr. (40703729),Michael Penix Jr.,40703729,QB,6200,MIA@ATL 11/11/2025 06:00PM ET,ATL,20.25
WR,Deebo Samuel Sr. (40703788),Deebo Samuel Sr.,40703788,WR/FLEX,6000,WAS@CAR 11/11/2025 08:00PM ET,WAS,13.35
RB,Chuba Hubbard (40703748),Chuba Hubbard,40703748,RB/FLEX,5800,WAS@CAR 11/11/2025 08:00PM ET,CAR,12.91
QB,Geno Smith (40703730),Geno Smith,40703730,QB,5700,SF@LV 11/11/2025 10:00PM ET,LV,21.82
QB,Brock Purdy (40703731),Brock Purdy,40703731,QB,5600,SF@LV 11/11/2025 10:00PM ET,SF,19.22
RB,Austin Ekeler (40703750),Austin Ekeler,40703750,RB/FLEX,5600,WAS@CAR 11/11/2025 08:00PM ET,WAS,12.54
QB,Tua Tagovailoa (40703732),Tua Tagovailoa,40703732,QB,5500,MIA@ATL 11/11/2025 06:00PM ET,MIA,18.88
QB,Bryce Young (40703733),Bryce Young,40703733,QB,5300,WAS@CAR 11/11/2025 08:00PM ET,CAR,18.11
WR,Jakobi Meyers (40703792),Jakobi Meyers,40703792,WR/FLEX,5100,SF@LV 11/11/2025 10:00PM ET,LV,12.57
WR,Darnell Mooney (40703790),Darnell Mooney,40703790,WR/FLEX,5100,MIA@ATL 11/11/2025 06:00PM ET,ATL,11.52
QB,Mac Jones (40703736),Mac Jones,40703736,QB,5000,SF@LV 11/11/2025 10:00PM ET,SF,0
QB,Kenny Pickett (40703738),Kenny Pickett,40703738,QB,5000,SF@LV 11/11/2025 10:00PM ET,LV,0
QB,Andy Dalton (40703735),Andy Dalton,40703735,QB,5000,WAS@CAR 11/11/2025 08:00PM ET,CAR,0
QB,Marcus Mariota (40703737),Marcus Mariota,40703737,QB,5000,WAS@CAR 11/11/2025 08:00PM ET,WAS,0
QB,Kirk Cousins (40703734),Kirk Cousins,40703734,QB,5000,MIA@ATL 11/11/2025 06:00PM ET,ATL,0
QB,Zach Wilson (40703739),Zach Wilson,40703739,QB,5000,MIA@ATL 11/11/2025 06:00PM ET,MIA,0
WR,Jaylen Waddle (40703794),Jaylen Waddle,40703794,WR/FLEX,5000,MIA@ATL 11/11/2025 06:00PM ET,MIA,12.88
TE,George Kittle (40703846),George Kittle,40703846,TE/FLEX,4900,SF@LV 11/11/2025 10:00PM ET,SF,13.17
WR,Xavier Legette (40703796),Xavier Legette,40703796,WR/FLEX,4900,WAS@CAR 11/11/2025 08:00PM ET,CAR,10.25
TE,Kyle Pitts Sr. (40703848),Kyle Pitts Sr.,40703848,TE/FLEX,4700,MIA@ATL 11/11/2025 06:00PM ET,ATL,13.51
TE,Brock Bowers (40703850),Brock Bowers,40703850,TE/FLEX,4600,SF@LV 11/11/2025 10:00PM ET,LV,10.11
WR,Jauan Jennings (40703798),Jauan Jennings,40703798,WR/FLEX,4100,SF@LV 11/11/2025 10:00PM ET,SF,11.73
WR,Tetairoa McMillan (40703800),Tetairoa McMillan,40703800,WR/FLEX,3900,WAS@CAR 11/11/2025 08:00PM ET,CAR,8.91
WR,Noah Brown (40703802),Noah Brown,40703802,WR/FLEX,3800,WAS@CAR 11/11/2025 08:00PM ET,WAS,10.05
WR,Ricky Pearsall (40703804),Ricky Pearsall,40703804,WR/FLEX,3700,SF@LV 11/11/2025 10:00PM ET,SF,11.37
WR,Jack Bech (40703806),Jack Bech,40703806,WR/FLEX,3600,SF@LV 11/11/2025 10:00PM ET,LV,9.22
WR,Tre Tucker (40703808),Tre Tucker,40703808,WR/FLEX,3500,SF@LV 11/11/2025 10:00PM ET,LV,7.81
WR,Ray-Ray McCloud III (40703810),Ray-Ray McCloud III,40703810,WR/FLEX,3400,MIA@ATL 11/11/2025 06:00PM ET,ATL,6.56
TE,Darren Waller (40703852),Darren Waller,40703852,TE/FLEX,3400,MIA@ATL 11/11/2025 06:00PM ET,MIA,9.54
TE,Zach Ertz (40703854),Zach Ertz,40703854,TE/FLEX,3300,WAS@CAR 11/11/2025 08:00PM ET,WAS,6.38
WR,Jalen Coker (40703812),Jalen Coker,40703812,WR/FLEX,3200,WAS@CAR 11/11/2025 08:00PM ET,CAR,6.58
DST,Commanders  (40703882),Commanders ,40703882,DST,3200,WAS@CAR 11/11/2025 08:00PM ET,WAS,2.47
RB,Rico Dowdle (40703752),Rico Dowdle,40703752,RB/FLEX,3100,WAS@CAR 11/11/2025 08:00PM ET,CAR,1.4
TE,Ja'Tavion Sanders (40703856),Ja'Tavion Sanders,40703856,TE/FLEX,3100,WAS@CAR 11/11/2025 08:00PM ET,CAR,9.29
DST,Panthers  (40703883),Panthers ,40703883,DST,3100,WAS@CAR 11/11/2025 08:00PM ET,CAR,2.44
WR,Nick Westbrook-Ikhine (40703814),Nick Westbrook-Ikhine,40703814,WR/FLEX,3100,MIA@ATL 11/11/2025 06:00PM ET,MIA,5.9
RB,Raheem Mostert (40703754),Raheem Mostert,40703754,RB/FLEX,3000,SF@LV 11/11/2025 10:00PM ET,LV,0.39
RB,Kyle Juszczyk (40703756),Kyle Juszczyk,40703756,RB/FLEX,3000,SF@LV 11/11/2025 10:00PM ET,SF,1.17
RB,Brian Robinson Jr. (40703758),Brian Robinson Jr.,40703758,RB/FLEX,3000,SF@LV 11/11/2025 10:00PM ET,SF,1.13
RB,Zamir White (40703766),Zamir White,40703766,RB/FLEX,3000,SF@LV 11/11/2025 10:00PM ET,LV,0.25
RB,Isaac Guerendo (40703768),Isaac Guerendo,40703768,RB/FLEX,3000,SF@LV 11/11/2025 10:00PM ET,SF,0
WR,Skyy Moore (40703818),Skyy Moore,40703818,WR/FLEX,3000,SF@LV 11/11/2025 10:00PM ET,SF,0
WR,Dont'e Thornton Jr. (40703826),Dont'e Thornton Jr.,40703826,WR/FLEX,3000,SF@LV 11/11/2025 10:00PM ET,LV,1.07
WR,Jacob Cowing (40703830),Jacob Cowing,40703830,WR/FLEX,3000,SF@LV 11/11/2025 10:00PM ET,SF,0
WR,Jordan Watkins (40703838),Jordan Watkins,40703838,WR/FLEX,3000,SF@LV 11/11/2025 10:00PM ET,SF,0
DST,49ers  (40703884),49ers ,40703884,DST,3000,SF@LV 11/11/2025 10:00PM ET,SF,2.43
RB,Jacory Croskey-Merritt (40703764),Jacory Croskey-Merritt,40703764,RB/FLEX,3000,WAS@CAR 11/11/2025 08:00PM ET,WAS,0.33
RB,Trevor Etienne (40703770),Trevor Etienne,40703770,RB/FLEX,3000,WAS@CAR 11/11/2025 08:00PM ET,CAR,0
