Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Ladd McConkey (40785886),Ladd McConkey,40785886,WR/FLEX,7800,NE@LAC 11/19/2025 10:00PM ET,LAC,20.74
QB,Kyler Murray (40785830),Kyler Murray,40785830,QB,7700,DEN@ARI 11/19/2025 08:00PM ET,ARI,29.82
RB,Omarion Hampton (40785842),Omarion Hampton,40785842,RB/FLEX,7500,NE@LAC 11/19/2025 10:00PM ET,LAC,20.67
RB,Kenneth Walker III (40785844),Kenneth Walker III,40785844,RB/FLEX,7400,LAR@SEA 11/19/2025 06:00PM ET,SEA,19.67
WR,Puka Nacua (40785888),Puka Nacua,40785888,WR/FLEX,7200,LAR@SEA 11/19/2025 06:00PM ET,LAR,17.77
QB,Matthew Stafford (40785831),Matthew Stafford,40785831,QB,7100,LAR@SEA 11/19/2025 06:00PM ET,LAR,22.65
QB,Drake Maye (40785832),Drake Maye,40785832,QB,7000,NE@LAC 11/19/2025 10:00PM ET,NE,22.59
QB,Justin Herbert (40785833),Justin Herbert,40785833,QB,6800,NE@LAC 11/19/2025 10:00PM ET,LAC,23.21
WR,Stefon Diggs (40785890),Stefon Diggs,40785890,WR/FLEX,6800,NE@LAC 11/19/2025 10:00PM ET,NE,14.37
RB,James Conner (40785846),James Conner,40785846,RB/FLEX,6600,DEN@ARI 11/19/2025 08:00PM ET,ARI,17.17
WR,Davante Adams (40785892),Davante Adams,40785892,WR/FLEX,6600,LAR@SEA 11/19/2025 06:00PM ET,LAR,16.37
RB,J.K. Dobbins (40785848),J.K. Dobbins,40785848,RB/FLEX,6400,DEN@ARI 11/19/2025 08:00PM ET,DEN,18.45
RB,Kyren Williams (40785850),Kyren Williams,40785850,RB/FLEX,6300,LAR@SEA 11/19/2025 06:00PM ET,LAR,16.82
WR,Courtland Sutton (40785894),Courtland Sutton,40785894,WR/FLEX,6000,DEN@ARI 11/19/2025 08:00PM ET,DEN,11.95
QB,Bo Nix (40785834),Bo Nix,40785834,QB,5800,DEN@ARI 11/19/2025 08:00PM ET,DEN,18.8
TE,Trey McBride (40785954),Trey McBride,40785954,TE/FLEX,5500,DEN@ARI 11/19/2025 08:00PM ET,ARI,13.7
RB,TreVeyon Henderson (40785852),TreVeyon Henderson,40785852,RB/FLEX,5300,NE@LAC 11/19/2025 10:00PM ET,NE,12.27
QB,Sam Darnold (40785835),Sam Darnold,40785835,QB,5300,LAR@SEA 11/19/2025 06:00PM ET,SEA,20.46
QB,Joshua Dobbs (40785837),Joshua Dobbs,40785837,QB,5000,NE@LAC 11/19/2025 10:00PM ET,NE,0
QB,Trey Lance (40785840),Trey Lance,40785840,QB,5000,NE@LAC 11/19/2025 10:00PM ET,LAC,0
WR,Keenan Allen (40785896),Keenan Allen,40785896,WR/FLEX,5000,NE@LAC 11/19/2025 10:00PM ET,LAC,12.03
QB,Jacoby Brissett (40785836),Jacoby Brissett,40785836,QB,5000,DEN@ARI 11/19/2025 08:00PM ET,ARI,0
QB,Jarrett Stidham (40785841),Jarrett Stidham,40785841,QB,5000,DEN@ARI 11/19/2025 08:00PM ET,DEN,0
QB,Jimmy Garoppolo (40785838),Jimmy Garoppolo,40785838,QB,5000,LAR@SEA 11/19/2025 06:00PM ET,LAR,0
QB,Jalen Milroe (40785839),Jalen Milroe,40785839,QB,5000,LAR@SEA 11/19/2025 06:00PM ET,SEA,0
WR,Marvin Harrison Jr. (40785898),Marvin Harrison Jr.,40785898,WR/FLEX,4900,DEN@ARI 11/19/2025 08:00PM ET,ARI,12.41
WR,Jaxon Smith-Njigba (40785900),Jaxon Smith-Njigba,40785900,WR/FLEX,4700,LAR@SEA 11/19/2025 06:00PM ET,SEA,7.36
WR,DeMario Douglas (40785902),DeMario Douglas,40785902,WR/FLEX,4600,NE@LAC 11/19/2025 10:00PM ET,NE,10.57
TE,Tyler Conklin (40785956),Tyler Conklin,40785956,TE/FLEX,4500,NE@LAC 11/19/2025 10:00PM ET,LAC,13.14
TE,Hunter Henry (40785958),Hunter Henry,40785958,TE/FLEX,4400,NE@LAC 11/19/2025 10:00PM ET,NE,13.61
WR,Cooper Kupp (40785904),Cooper Kupp,40785904,WR/FLEX,4300,LAR@SEA 11/19/2025 06:00PM ET,SEA,10.15
WR,Quentin Johnston (40785906),Quentin Johnston,40785906,WR/FLEX,3900,NE@LAC 11/19/2025 10:00PM ET,LAC,10.68
TE,Evan Engram (40785960),Evan Engram,40785960,TE/FLEX,3900,DEN@ARI 11/19/2025 08:00PM ET,DEN,9.26
WR,Tutu Atwell (40785908),Tutu Atwell,40785908,WR/FLEX,3700,LAR@SEA 11/19/2025 06:00PM ET,LAR,14.93
WR,Marvin Mims Jr. (40785910),Marvin Mims Jr.,40785910,WR/FLEX,3600,DEN@ARI 11/19/2025 08:00PM ET,DEN,9.77
WR,Tory Horton (40785912),Tory Horton,40785912,WR/FLEX,3500,LAR@SEA 11/19/2025 06:00PM ET,SEA,8.99
WR,Kayshon Boutte (40785914),Kayshon Boutte,40785914,WR/FLEX,3400,NE@LAC 11/19/2025 10:00PM ET,NE,10.35
DST,Broncos  (40785988),Broncos ,40785988,DST,3400,DEN@ARI 11/19/2025 08:00PM ET,DEN,6
TE,Elijah Arroyo (40785962),Elijah Arroyo,40785962,TE/FLEX,3400,LAR@SEA 11/19/2025 06:00PM ET,SEA,10.05
RB,Antonio Gibson (40785854),Antonio Gibson,40785854,RB/FLEX,3300,NE@LAC 11/19/2025 10:00PM ET,NE,6.63
DST,Patriots  (40785989),Patriots ,40785989,DST,3300,NE@LAC 11/19/2025 10:00PM ET,NE,3.27
WR,Michael Wilson (40785916),Michael Wilson,40785916,WR/FLEX,3300,DEN@ARI 11/19/2025 08:00PM ET,ARI,9.68
RB,RJ Harvey (40785856),RJ Harvey,40785856,RB/FLEX,3200,DEN@ARI 11/19/2025 08:00PM ET,DEN,5.71
WR,Zay Jones (40785918),Zay Jones,40785918,WR/FLEX,3200,DEN@ARI 11/19/2025 08:00PM ET,ARI,8.47
DST,Cardinals  (40785990),Cardinals ,40785990,DST,3200,DEN@ARI 11/19/2025 08:00PM ET,ARI,2.13
RB,Najee Harris (40785858),Najee Harris,40785858,RB/FLEX,3100,NE@LAC 11/19/2025 10:00PM ET,LAC,0.86
DST,Chargers  (40785991),Chargers ,40785991,DST,3100,NE@LAC 11/19/2025 10:00PM ET,LAC,4.43
WR,Troy Franklin (40785920),Troy Franklin,40785920,WR/FLEX,3100,DEN@ARI 11/19/2025 08:00PM ET,DEN,6.16
RB,Rhamondre Stevenson (40785870),Rhamondre Stevenson,40785870,RB/FLEX,3000,NE@LAC 11/19/2025 10:00PM ET,NE,1.78
RB,Hassan Haskins (40785880),Hassan Haskins,40785880,RB/FLEX,3000,NE@LAC 11/19/2025 10:00PM ET,LAC,0
RB,Scott Matlock (40785882),Scott Matlock,40785882,RB/FLEX,3000,NE@LAC 11/19/2025 10:00PM ET,LAC,1.62
WR,Mack Hollins (40785922),Mack Hollins,40785922,WR/FLEX,3000,NE@LAC 11/19/2025 10:00PM ET,NE,0
WR,Tre' Harris (40785926),Tre' Harris,40785926,WR/FLEX,3000,NE@LAC 11/19/2025 10:00PM ET,LAC,0
WR,Kyle Williams (40785934),Kyle Williams,40785934,WR/FLEX,3000,NE@LAC 11/19/2025 10:00PM ET,NE,0
WR,KeAndre Lambert-Smith (40785936),KeAndre Lambert-Smith,40785936,WR/FLEX,3000,NE@LAC 11/19/2025 10:00PM ET,LAC,0
WR,Derius Davis (40785948),Derius Davis,40785948,WR/FLEX,3000,NE@LAC 11/19/2025 10:00PM ET,LAC,0
WR,Efton Chism III (40785950),Efton Chism III,40785950,WR/FLEX,3000,NE@LAC 11/19/2025 10:00PM ET,NE,0
RB,Michael Burton (40785860),Michael Burton,40785860,RB/FLEX,3000,DEN@ARI 11/19/2025 08:00PM ET,DEN,0.47
RB,Trey Benson (40785866),Trey Benson,40785866,RB/FLEX,3000,DEN@ARI 11/19/2025 08:00PM ET,ARI,0.27
RB,Jaleel McLaughlin (40785872),Jaleel McLaughlin,40785872,RB/FLEX,3000,DEN@ARI 11/19/2025 08:00PM ET,DEN,0
RB,Emari Demercado (40785876),Emari Demercado,40785876,RB/FLEX,3000,DEN@ARI 11/19/2025 08:00PM ET,ARI,0.56
WR,Greg Dortch (40785924),Greg Dortch,40785924,WR/FLEX,3000,DEN@ARI 11/19/2025 08:00PM ET,ARI,1.46
WR,Pat Bryant (40785930),Pat Bryant,40785930,WR/FLEX,3000,DEN@ARI 11/19/2025 08:00PM ET,DEN,0
WR,A.T. Perry (40785938),A.T. Perry,40785938,WR/FLEX,3000,DEN@ARI 11/19/2025 08:00PM ET,DEN,0
WR,Xavier Weaver (40785942),Xavier Weaver,40785942,WR/FLEX,3000,DEN@ARI 11/19/2025 08:00PM ET,ARI,0
WR,Trent Sherfield Sr. (40785946),Trent Sherfield Sr.,40785946,WR/FLEX,3000,DEN@ARI 11/19/2025 08:00PM ET,DEN,1.32
RB,Brady Russell (40785862),Brady Russell,40785862,RB/FLEX,3000,LAR@SEA 11/19/2025 06:00PM ET,SEA,1.21
RB,Zach Charbonnet (40785864),Zach Charbonnet,40785864,RB/FLEX,3000,LAR@SEA 11/19/2025 06:00PM ET,SEA,1.04
RB,Blake Corum (40785868),Blake Corum,40785868,RB/FLEX,3000,LAR@SEA 11/19/2025 06:00PM ET,LAR,0
RB,Jarquez Hunter (40785874),Jarquez Hunter,40785874,RB/FLEX,3000,LAR@SEA 11/19/2025 06:00PM ET,LAR,0
RB,Damien Martinez (40785878),Damien Martinez,40785878,RB/FLEX,3000,LAR@SEA 11/19/2025 06:00PM ET,SEA,0
RB,Colby Parkinson (40785884),Colby Parkinson,40785884,RB/FLEX,3000,LAR@SEA 11/19/2025 06:00PM ET,LAR,0.85
WR,Jordan Whittington (40785928),Jordan Whittington,40785928,WR/FLEX,3000,LAR@SEA 11/19/2025 06:00PM ET,LAR,1.03
WR,Jake Bobo (40785932),Jake Bobo,40785932,WR/FLEX,3000,LAR@SEA 11/19/2025 06:00PM ET,SEA,0
WR,Konata Mumpfield (40785940),Konata Mumpfield,40785940,WR/FLEX,3000,LAR@SEA 11/19/2025 06:00PM ET,LAR,0
WR,Dareke Young (40785944),Dareke Young,40785944,WR/FLEX,3000,LAR@SEA 11/19/2025 06:00PM ET,SEA,0
WR,Cody White (40785952),Cody White,40785952,WR/FLEX,3000,LAR@SEA 11/19/2025 06:00PM ET,SEA,0
DST,Rams  (40785992),Rams ,40785992,DST,3000,LAR@SEA 11/19/2025 06:00PM ET,LAR,2.36
TE,Tyler Higbee (40785964),Tyler Higbee,40785964,TE/FLEX,2900,LAR@SEA 11/19/2025 06:00PM ET,LAR,9.81
DST,Seahawks  (40785993),Seahawks ,40785993,DST,2900,LAR@SEA 11/19/2025 06:00PM ET,SEA,2.31
TE,Will Dissly (40785974),Will Dissly,40785974,TE/FLEX,2500,NE@LAC 11/19/2025 10:00PM ET,LAC,1.35
TE,Austin Hooper (40785976),Austin Hooper,40785976,TE/FLEX,2500,NE@LAC 11/19/2025 10:00PM ET,NE,1.82
TE,Oronde Gadsden II (40785978),Oronde Gadsden II,40785978,TE/FLEX,2500,NE@LAC 11/19/2025 10:00PM ET,LAC,0.87
TE,Tip Reiman (40785966),Tip Reiman,40785966,TE/FLEX,2500,DEN@ARI 11/19/2025 08:00PM ET,ARI,3.48
TE,Adam Trautman (40785970),Adam Trautman,40785970,TE/FLEX,2500,DEN@ARI 11/19/2025 08:00PM ET,DEN,1.14
TE,Elijah Higgins (40785984),Elijah Higgins,40785984,TE/FLEX,2500,DEN@ARI 11/19/2025 08:00PM ET,ARI,0.17
TE,Lucas Krull (40785986),Lucas Krull,40785986,TE/FLEX,2500,DEN@ARI 11/19/2025 08:00PM ET,DEN,0.14
TE,AJ Barner (40785968),AJ Barner,40785968,TE/FLEX,2500,LAR@SEA 11/19/2025 06:00PM ET,SEA,1.43
TE,Terrance Ferguson (40785972),Terrance Ferguson,40785972,TE/FLEX,2500,LAR@SEA 11/19/2025 06:00PM ET,LAR,0.87
TE,Eric Saubert (40785980),Eric Saubert,40785980,TE/FLEX,2500,LAR@SEA 11/19/2025 06:00PM ET,SEA,0.2
TE,Davis Allen (40785982),Davis Allen,40785982,TE/FLEX,2500,LAR@SEA 11/19/2025 06:00PM ET,LAR,0
