Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Bijan Robinson (40721486),Bijan Robinson,40721486,RB/FLEX,8500,LAC@ATL 11/13/2025 04:00PM ET,ATL,18.56
WR,Ladd McConkey (40721530),Ladd McConkey,40721530,WR/FLEX,8300,LAC@ATL 11/13/2025 04:00PM ET,LAC,20.3
RB,Omarion Hampton (40721488),Omarion Hampton,40721488,RB/FLEX,8100,LAC@ATL 11/13/2025 04:00PM ET,LAC,20.44
RB,Jonathan Taylor (40721490),Jonathan Taylor,40721490,RB/FLEX,8000,DAL@IND 11/13/2025 12:00PM ET,IND,14.6
RB,De'Von Achane (40721492),De'Von Achane,40721492,RB/FLEX,7100,MIA@LV 11/13/2025 02:00PM ET,MIA,15.86
WR,Tyreek Hill (40721532),Tyreek Hill,40721532,WR/FLEX,7100,MIA@LV 11/13/2025 02:00PM ET,MIA,15.98
QB,Justin Herbert (40721474),Justin Herbert,40721474,QB,6800,LAC@ATL 11/13/2025 04:00PM ET,LAC,22.73
RB,Ashton Jeanty (40721494),Ashton Jeanty,40721494,RB/FLEX,6800,MIA@LV 11/13/2025 02:00PM ET,LV,14.54
QB,Dak Prescott (40721475),Dak Prescott,40721475,QB,6400,DAL@IND 11/13/2025 12:00PM ET,DAL,19.65
QB,Michael Penix Jr. (40721476),Michael Penix Jr.,40721476,QB,6300,LAC@ATL 11/13/2025 04:00PM ET,ATL,20.19
WR,CeeDee Lamb (40721534),CeeDee Lamb,40721534,WR/FLEX,6100,DAL@IND 11/13/2025 12:00PM ET,DAL,11.69
WR,Drake London (40721536),Drake London,40721536,WR/FLEX,6000,LAC@ATL 11/13/2025 04:00PM ET,ATL,9.48
QB,Daniel Jones (40721477),Daniel Jones,40721477,QB,5800,DAL@IND 11/13/2025 12:00PM ET,IND,19.58
QB,Geno Smith (40721478),Geno Smith,40721478,QB,5700,MIA@LV 11/13/2025 02:00PM ET,LV,21.44
QB,Tua Tagovailoa (40721479),Tua Tagovailoa,40721479,QB,5600,MIA@LV 11/13/2025 02:00PM ET,MIA,19.12
WR,Michael Pittman Jr. (40721538),Michael Pittman Jr.,40721538,WR/FLEX,5600,DAL@IND 11/13/2025 12:00PM ET,IND,11.25
WR,Keenan Allen (40721540),Keenan Allen,40721540,WR/FLEX,5300,LAC@ATL 11/13/2025 04:00PM ET,LAC,12.18
WR,George Pickens (40721542),George Pickens,40721542,WR/FLEX,5200,DAL@IND 11/13/2025 12:00PM ET,DAL,11.61
QB,Kirk Cousins (40721480),Kirk Cousins,40721480,QB,5000,LAC@ATL 11/13/2025 04:00PM ET,ATL,0
QB,Trey Lance (40721485),Trey Lance,40721485,QB,5000,LAC@ATL 11/13/2025 04:00PM ET,LAC,0
WR,Darnell Mooney (40721544),Darnell Mooney,40721544,WR/FLEX,5000,LAC@ATL 11/13/2025 04:00PM ET,ATL,11.38
QB,Kenny Pickett (40721483),Kenny Pickett,40721483,QB,5000,MIA@LV 11/13/2025 02:00PM ET,LV,0
QB,Zach Wilson (40721484),Zach Wilson,40721484,QB,5000,MIA@LV 11/13/2025 02:00PM ET,MIA,0
QB,Anthony Richardson Sr. (40721481),Anthony Richardson Sr.,40721481,QB,5000,DAL@IND 11/13/2025 12:00PM ET,IND,0
QB,Joe Milton III (40721482),Joe Milton III,40721482,QB,5000,DAL@IND 11/13/2025 12:00PM ET,DAL,0
TE,Jake Ferguson (40721598),Jake Ferguson,40721598,TE/FLEX,4900,DAL@IND 11/13/2025 12:00PM ET,DAL,10.64
TE,Tyler Conklin (40721600),Tyler Conklin,40721600,TE/FLEX,4800,LAC@ATL 11/13/2025 04:00PM ET,LAC,12.95
WR,Jakobi Meyers (40721546),Jakobi Meyers,40721546,WR/FLEX,4800,MIA@LV 11/13/2025 02:00PM ET,LV,12.44
TE,Kyle Pitts Sr. (40721602),Kyle Pitts Sr.,40721602,TE/FLEX,4700,LAC@ATL 11/13/2025 04:00PM ET,ATL,13.46
WR,Jaylen Waddle (40721548),Jaylen Waddle,40721548,WR/FLEX,4700,MIA@LV 11/13/2025 02:00PM ET,MIA,13.14
TE,Brock Bowers (40721604),Brock Bowers,40721604,TE/FLEX,4500,MIA@LV 11/13/2025 02:00PM ET,LV,10.94
WR,Alec Pierce (40721550),Alec Pierce,40721550,WR/FLEX,4500,DAL@IND 11/13/2025 12:00PM ET,IND,10.27
RB,Javonte Williams (40721496),Javonte Williams,40721496,RB/FLEX,4400,DAL@IND 11/13/2025 12:00PM ET,DAL,10.2
TE,Tyler Warren (40721606),Tyler Warren,40721606,TE/FLEX,4400,DAL@IND 11/13/2025 12:00PM ET,IND,9.83
WR,Quentin Johnston (40721552),Quentin Johnston,40721552,WR/FLEX,3900,LAC@ATL 11/13/2025 04:00PM ET,LAC,10.82
WR,Jack Bech (40721554),Jack Bech,40721554,WR/FLEX,3600,MIA@LV 11/13/2025 02:00PM ET,LV,8.83
WR,Ray-Ray McCloud III (40721556),Ray-Ray McCloud III,40721556,WR/FLEX,3500,LAC@ATL 11/13/2025 04:00PM ET,ATL,6.36
WR,Tre Tucker (40721558),Tre Tucker,40721558,WR/FLEX,3400,MIA@LV 11/13/2025 02:00PM ET,LV,7.56
WR,Jalen Tolbert (40721560),Jalen Tolbert,40721560,WR/FLEX,3300,DAL@IND 11/13/2025 12:00PM ET,DAL,8.22
DST,Chargers  (40721634),Chargers ,40721634,DST,3200,LAC@ATL 11/13/2025 04:00PM ET,LAC,4.15
WR,Nick Westbrook-Ikhine (40721562),Nick Westbrook-Ikhine,40721562,WR/FLEX,3200,MIA@LV 11/13/2025 02:00PM ET,MIA,5.78
TE,Darren Waller (40721608),Darren Waller,40721608,TE/FLEX,3100,MIA@LV 11/13/2025 02:00PM ET,MIA,9.48
RB,Jaydon Blue (40721498),Jaydon Blue,40721498,RB/FLEX,3100,DAL@IND 11/13/2025 12:00PM ET,DAL,6.18
WR,Josh Downs (40721564),Josh Downs,40721564,WR/FLEX,3100,DAL@IND 11/13/2025 12:00PM ET,IND,4.63
DST,Cowboys  (40721635),Cowboys ,40721635,DST,3100,DAL@IND 11/13/2025 12:00PM ET,DAL,2.65
RB,Najee Harris (40721502),Najee Harris,40721502,RB/FLEX,3000,LAC@ATL 11/13/2025 04:00PM ET,LAC,0.72
RB,Tyler Allgeier (40721504),Tyler Allgeier,40721504,RB/FLEX,3000,LAC@ATL 11/13/2025 04:00PM ET,ATL,0.74
RB,Hassan Haskins (40721516),Hassan Haskins,40721516,RB/FLEX,3000,LAC@ATL 11/13/2025 04:00PM ET,LAC,0
