Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Ja'Marr Chase (40706943),Ja'Marr Chase,40706943,WR/FLEX,8900,CIN@GB 11/12/2025 10:00PM ET,CIN,23.15
RB,Travis Etienne Jr. (40706899),Travis Etienne Jr.,40706899,RB/FLEX,8600,PIT@JAX 11/12/2025 08:00PM ET,JAX,17.85
WR,DK Metcalf (40706945),DK Metcalf,40706945,WR/FLEX,7800,PIT@JAX 11/12/2025 08:00PM ET,PIT,21.88
QB,Kyler Murray (40706887),Kyler Murray,40706887,QB,7800,ARI@LAR 11/12/2025 06:00PM ET,ARI,31.67
QB,Joe Burrow (40706888),Joe Burrow,40706888,QB,7600,CIN@GB 11/12/2025 10:00PM ET,CIN,25.21
RB,Josh Jacobs (40706901),Josh Jacobs,40706901,RB/FLEX,7300,CIN@GB 11/12/2025 10:00PM ET,GB,16.49
WR,Puka Nacua (40706947),Puka Nacua,40706947,WR/FLEX,7100,ARI@LAR 11/12/2025 06:00PM ET,LAR,17.9
RB,Chase Brown (40706903),Chase Brown,40706903,RB/FLEX,7000,CIN@GB 11/12/2025 10:00PM ET,CIN,22.14
RB,James Conner (40706905),James Conner,40706905,RB/FLEX,6700,ARI@LAR 11/12/2025 06:00PM ET,ARI,18.15
WR,Brian Thomas Jr. (40706949),Brian Thomas Jr.,40706949,WR/FLEX,6600,PIT@JAX 11/12/2025 08:00PM ET,JAX,16.43
QB,Jordan Love (40706889),Jordan Love,40706889,QB,6500,CIN@GB 11/12/2025 10:00PM ET,GB,23.89
QB,Matthew Stafford (40706890),Matthew Stafford,40706890,QB,6400,ARI@LAR 11/12/2025 06:00PM ET,LAR,22.41
WR,Davante Adams (40706951),Davante Adams,40706951,WR/FLEX,6400,ARI@LAR 11/12/2025 06:00PM ET,LAR,15.61
RB,Jaylen Warren (40706907),Jaylen Warren,40706907,RB/FLEX,6300,PIT@JAX 11/12/2025 08:00PM ET,PIT,16.82
RB,Kyren Williams (40706909),Kyren Williams,40706909,RB/FLEX,6200,ARI@LAR 11/12/2025 06:00PM ET,LAR,17.16
TE,Trey McBride (40707009),Trey McBride,40707009,TE/FLEX,6100,ARI@LAR 11/12/2025 06:00PM ET,ARI,14.61
QB,Aaron Rodgers (40706891),Aaron Rodgers,40706891,QB,5900,PIT@JAX 11/12/2025 08:00PM ET,PIT,22.93
