Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Parker Washington (40797796),Parker Washington,40797796,WR/FLEX,3000,JAX@CAR 11/18/2025 08:00PM ET,JAX,0
WR,David Moore (40797800),David Moore,40797800,WR/FLEX,3000,JAX@CAR 11/18/2025 08:00PM ET,CAR,0
WR,Jimmy Horn Jr. (40797816),Jimmy Horn Jr.,40797816,WR/FLEX,3000,JAX@CAR 11/18/2025 08:00PM ET,CAR,0
DST,Panthers  (40797858),Panthers ,40797858,DST,3000,JAX@CAR 11/18/2025 08:00PM ET,CAR,2.4
RB,Patrick Ricard (40797724),Patrick Ricard,40797724,RB/FLEX,3000,NYJ@BAL 11/18/2025 06:00PM ET,BAL,1.78
RB,Justice Hill (40797728),Justice Hill,40797728,RB/FLEX,3000,NYJ@BAL 11/18/2025 06:00PM ET,BAL,3.11
RB,Braelon Allen (40797730),Braelon Allen,40797730,RB/FLEX,3000,NYJ@BAL 11/18/2025 06:00PM ET,NYJ,0.18
RB,Keaton Mitchell (40797738),Keaton Mitchell,40797738,RB/FLEX,3000,NYJ@BAL 11/18/2025 06:00PM ET,BAL,0
RB,Isaiah Davis (40797744),Isaiah Davis,40797744,RB/FLEX,3000,NYJ@BAL 11/18/2025 06:00PM ET,NYJ,0
RB,Andrew Beck (40797746),Andrew Beck,40797746,RB/FLEX,3000,NYJ@BAL 11/18/2025 06:00PM ET,NYJ,0.27
WR,Xavier Gipson (40797792),Xavier Gipson,40797792,WR/FLEX,3000,NYJ@BAL 11/18/2025 06:00PM ET,NYJ,3.58
WR,Tylan Wallace (40797794),Tylan Wallace,40797794,WR/FLEX,3000,NYJ@BAL 11/18/2025 06:00PM ET,BAL,0
WR,Devontez Walker (40797804),Devontez Walker,40797804,WR/FLEX,3000,NYJ@BAL 11/18/2025 06:00PM ET,BAL,0
WR,Tyler Johnson (40797806),Tyler Johnson,40797806,WR/FLEX,3000,NYJ@BAL 11/18/2025 06:00PM ET,NYJ,0
WR,LaJohntay Wester (40797810),LaJohntay Wester,40797810,WR/FLEX,3000,NYJ@BAL 11/18/2025 06:00PM ET,BAL,0.74
WR,Arian Smith (40797814),Arian Smith,40797814,WR/FLEX,3000,NYJ@BAL 11/18/2025 06:00PM ET,NYJ,0
TE,Mason Taylor (40797828),Mason Taylor,40797828,TE/FLEX,3000,NYJ@BAL 11/18/2025 06:00PM ET,NYJ,7.96
DST,Saints  (40797859),Saints ,40797859,DST,2900,NO@KC 11/18/2025 10:00PM ET,NO,3.09
TE,Noah Gray (40797834),Noah Gray,40797834,TE/FLEX,2500,NO@KC 11/18/2025 10:00PM ET,KC,2.92
TE,Foster Moreau (40797836),Foster Moreau,40797836,TE/FLEX,2500,NO@KC 11/18/2025 10:00PM ET,NO,1.5
TE,Jared Wiley (40797842),Jared Wiley,40797842,TE/FLEX,2500,NO@KC 11/18/2025 10:00PM ET,KC,0.58
TE,Taysom Hill (40797852),Taysom Hill,40797852,TE/FLEX,2500,NO@KC 11/18/2025 10:00PM ET,NO,1.12
TE,Tommy Tremble (40797832),Tommy Tremble,40797832,TE/FLEX,2500,JAX@CAR 11/18/2025 08:00PM ET,CAR,2.69
TE,Johnny Mundt (40797838),Johnny Mundt,40797838,TE/FLEX,2500,JAX@CAR 11/18/2025 08:00PM ET,JAX,1.58
TE,James Mitchell (40797846),James Mitchell,40797846,TE/FLEX,2500,JAX@CAR 11/18/2025 08:00PM ET,CAR,0
TE,Hunter Long (40797848),Hunter Long,40797848,TE/FLEX,2500,JAX@CAR 11/18/2025 08:00PM ET,JAX,1.28
TE,Isaiah Likely (40797830),Isaiah Likely,40797830,TE/FLEX,2500,NYJ@BAL 11/18/2025 06:00PM ET,BAL,3.21
TE,Jeremy Ruckert (40797840),Jeremy Ruckert,40797840,TE/FLEX,2500,NYJ@BAL 11/18/2025 06:00PM ET,NYJ,0.81
TE,Charlie Kolar (40797844),Charlie Kolar,40797844,TE/FLEX,2500,NYJ@BAL 11/18/2025 06:00PM ET,BAL,0
TE,Stone Smartt (40797850),Stone Smartt,40797850,TE/FLEX,2500,NYJ@BAL 11/18/2025 06:00PM ET,NYJ,0
