Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Tahj Washington (40636880),Tahj Washington,40636880,WR/FLEX,3000,KC@MIA 11/05/2025 02:00PM ET,MIA,0
RB,Samaje Perine (40636792),Samaje Perine,40636792,RB/FLEX,3000,CIN@DAL 11/05/2025 12:00PM ET,CIN,0
RB,Miles Sanders (40636794),Miles Sanders,40636794,RB/FLEX,3000,CIN@DAL 11/05/2025 12:00PM ET,DAL,0
RB,Tahj Brooks (40636806),Tahj Brooks,40636806,RB/FLEX,3000,CIN@DAL 11/05/2025 12:00PM ET,CIN,0
RB,Hunter Luepke (40636810),Hunter Luepke,40636810,RB/FLEX,3000,CIN@DAL 11/05/2025 12:00PM ET,DAL,1.24
RB,Tanner Hudson (40636814),Tanner Hudson,40636814,RB/FLEX,3000,CIN@DAL 11/05/2025 12:00PM ET,CIN,-0.07
WR,KaVontae Turpin (40636856),KaVontae Turpin,40636856,WR/FLEX,3000,CIN@DAL 11/05/2025 12:00PM ET,DAL,0
WR,Jermaine Burton (40636860),Jermaine Burton,40636860,WR/FLEX,3000,CIN@DAL 11/05/2025 12:00PM ET,CIN,0.93
WR,Jonathan Mingo (40636864),Jonathan Mingo,40636864,WR/FLEX,3000,CIN@DAL 11/05/2025 12:00PM ET,DAL,0
WR,Mitch Tinsley (40636872),Mitch Tinsley,40636872,WR/FLEX,3000,CIN@DAL 11/05/2025 12:00PM ET,CIN,0
WR,Charlie Jones (40636876),Charlie Jones,40636876,WR/FLEX,3000,CIN@DAL 11/05/2025 12:00PM ET,CIN,0.23
WR,Ryan Flournoy (40636882),Ryan Flournoy,40636882,WR/FLEX,3000,CIN@DAL 11/05/2025 12:00PM ET,DAL,0
DST,Bengals  (40636923),Bengals ,40636923,DST,3000,CIN@DAL 11/05/2025 12:00PM ET,CIN,2.09
DST,Dolphins  (40636924),Dolphins ,40636924,DST,2900,KC@MIA 11/05/2025 02:00PM ET,MIA,3.25
DST,Raiders  (40636925),Raiders ,40636925,DST,2800,LV@DEN 11/05/2025 04:00PM ET,LV,3.44
TE,Adam Trautman (40636900),Adam Trautman,40636900,TE/FLEX,2500,LV@DEN 11/05/2025 04:00PM ET,DEN,1.25
TE,Michael Mayer (40636906),Michael Mayer,40636906,TE/FLEX,2500,LV@DEN 11/05/2025 04:00PM ET,LV,2.14
TE,Ian Thomas (40636910),Ian Thomas,40636910,TE/FLEX,2500,LV@DEN 11/05/2025 04:00PM ET,LV,0
TE,Lucas Krull (40636914),Lucas Krull,40636914,TE/FLEX,2500,LV@DEN 11/05/2025 04:00PM ET,DEN,0.17
TE,Noah Gray (40636898),Noah Gray,40636898,TE/FLEX,2500,KC@MIA 11/05/2025 02:00PM ET,KC,3.34
TE,Julian Hill (40636902),Julian Hill,40636902,TE/FLEX,2500,KC@MIA 11/05/2025 02:00PM ET,MIA,0.94
TE,Jared Wiley (40636908),Jared Wiley,40636908,TE/FLEX,2500,KC@MIA 11/05/2025 02:00PM ET,KC,0.4
TE,Tanner Conner (40636918),Tanner Conner,40636918,TE/FLEX,2500,KC@MIA 11/05/2025 02:00PM ET,MIA,0
TE,Luke Schoonmaker (40636896),Luke Schoonmaker,40636896,TE/FLEX,2500,CIN@DAL 11/05/2025 12:00PM ET,DAL,0.78
TE,Noah Fant (40636904),Noah Fant,40636904,TE/FLEX,2500,CIN@DAL 11/05/2025 12:00PM ET,CIN,0.76
TE,Drew Sample (40636912),Drew Sample,40636912,TE/FLEX,2500,CIN@DAL 11/05/2025 12:00PM ET,CIN,1.3
TE,Brevyn Spann-Ford (40636916),Brevyn Spann-Ford,40636916,TE/FLEX,2500,CIN@DAL 11/05/2025 12:00PM ET,DAL,0
