Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,A.J. Brown (49601506),A.J. Brown,49601506,WR/FLEX,7700,TBD,PHI,15.6
DST,Bears (42043991),Bears,42043991,DST,2000,TBD,CHI,1.0
RB,Bijan Robinson (60292025),Bijan Robinson,60292025,RB/FLEX,16500,TBD,ATL,33.4
TE,Brenton Strange (92287346),Brenton Strange,92287346,TE/FLEX,3200,TBD,JAX,6.4
WR,Brian Thomas Jr. (26045892),Brian Thomas Jr.,26045892,WR/FLEX,9700,TBD,JAX,19.5
QB,Caleb Williams (77976333),Caleb Williams,77976333,QB,17500,TBD,CHI,35.28
FLEX,Cole Kmet (62288935),Cole Kmet,62288935,FLEX,13600,TBD,CHI,27.4
TE,Colston Loveland (87930063),Colston Loveland,87930063,TE/FLEX,2000,TBD,CHI,0.0
WR,Cooper Kupp (10138774),Cooper Kupp,10138774,WR/FLEX,5900,TBD,SEA,12.0
FLEX,D'Andre Swift (88428519),D'Andre Swift,88428519,FLEX,9600,TBD,CHI,19.4
WR,DJ Moore (14101910),DJ Moore,14101910,WR/FLEX,2500,TBD,CHI,5.1
TE,Dallas Goedert (55792846),Dallas Goedert,55792846,TE/FLEX,6500,TBD,PHI,13.2
WR,Darnell Mooney (28843461),Darnell Mooney,28843461,WR/FLEX,9800,TBD,ATL,19.9
WR,DeAndre Hopkins (57676789),DeAndre Hopkins,57676789,WR/FLEX,4700,TBD,BAL,9.5
WR,DeVonta Smith (5246159),DeVonta Smith,5246159,WR/FLEX,4800,TBD,PHI,9.6
RB,Derrick Henry (43767923),Derrick Henry,43767923,RB/FLEX,2500,TBD,BAL,5.0
WR,Drake London (3613259),Drake London,3613259,WR/FLEX,2000,TBD,ATL,2.9
DST,Eagles (85645946),Eagles,85645946,DST,2000,TBD,PHI,3.0
TE,Elijah Arroyo (56443388),Elijah Arroyo,56443388,TE/FLEX,3900,TBD,SEA,7.9
DST,Falcons (51605979),Falcons,51605979,DST,2000,TBD,ATL,-2.0
DST,Jaguars (84486329),Jaguars,84486329,DST,2000,TBD,JAX,-1.0
WR,Jahan Dotson (5840274),Jahan Dotson,5840274,WR/FLEX,8100,TBD,PHI,16.3
QB,Jalen Hurts (49139911),Jalen Hurts,49139911,QB,12700,TBD,PHI,25.66
WR,Jaxon Smith-Njigba (11754564),Jaxon Smith-Njigba,11754564,WR/FLEX,2000,TBD,SEA,1.8
FLEX,Justice Hill (72675720),Justice Hill,72675720,FLEX,2000,TBD,BAL,2.4
RB,Kenneth Walker III (4306515),Kenneth Walker III,4306515,RB/FLEX,5800,TBD,SEA,11.7
TE,Kyle Pitts Sr. (9714699),Kyle Pitts Sr.,9714699,TE/FLEX,5600,TBD,ATL,11.3
QB,Lamar Jackson (19698450),Lamar Jackson,19698450,QB,13700,TBD,BAL,27.66
WR,Luther Burden III (76062240),Luther Burden III,76062240,WR/FLEX,12500,TBD,CHI,25.2
TE,Mark Andrews (14647113),Mark Andrews,14647113,TE/FLEX,4400,TBD,BAL,8.8
QB,Michael Penix Jr. (73156434),Michael Penix Jr.,73156434,QB,10000,TBD,ATL,20.18
WR,Rashod Bateman (3333834),Rashod Bateman,3333834,WR/FLEX,3900,TBD,BAL,7.8
DST,Ravens (6082748),Ravens,6082748,DST,6900,TBD,BAL,14.0
WR,Ray-Ray McCloud III (95866150),Ray-Ray McCloud III,95866150,WR/FLEX,2000,TBD,ATL,1.5
WR,Rome Odunze (12742912),Rome Odunze,12742912,WR/FLEX,2600,TBD,CHI,5.3
QB,Sam Darnold (86278368),Sam Darnold,86278368,QB,5400,TBD,SEA,10.86
FLEX,Saquon Barkley (34007981),Saquon Barkley,34007981,FLEX,7500,TBD,PHI,15.2
DST,Seahawks (1375382),Seahawks,1375382,DST,2000,TBD,SEA,1.0
WR,Tim Patrick (70057113),Tim Patrick,70057113,WR/FLEX,4400,TBD,JAX,8.9
WR,Tory Horton (86915463),Tory Horton,86915463,WR/FLEX,3900,TBD,SEA,7.9
FLEX,Travis Etienne Jr. (9185861),Travis Etienne Jr.,9185861,FLEX,6800,TBD,JAX,13.7
WR,Travis Hunter (97095366),Travis Hunter,97095366,WR/FLEX,2000,TBD,JAX,3.5
QB,Trevor Lawrence (65951104),Trevor Lawrence,65951104,QB,14200,TBD,JAX,28.68
WR,Zay Flowers (56955381),Zay Flowers,56955381,WR/FLEX,2000,TBD,BAL,3.7
