Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
24,4926495165,Crod,0,114.44,DST Panthers  FLEX Chuba Hubbard QB Jayden Daniels RB Jahmyr Gibbs RB Alvin Kamara TE Sam LaPorta WR Christian Watson WR Jayden Reed WR Tetairoa McMillan,,Commanders ,DST,16.07%,7
25,4926845789,jedimoose28,0,114.4,DST Packers  FLEX Josh Jacobs QB Daniel Jones RB Jahmyr Gibbs RB Alvin Kamara TE Ja'Tavion Sanders WR Jameson Williams WR Christian Watson WR Alec Pierce,,Jordan Love,QB,12.50%,10.76
26,4927166979,KDAWG338L,0,113.34,DST Packers  FLEX Ja'Tavion Sanders QB Jared Goff RB Jahmyr Gibbs RB Jonathan Taylor TE Sam LaPorta WR Amon-Ra St. Brown WR Michael Pittman Jr. WR Jameson Williams,,Lions ,DST,12.50%,2
27,4927175882,Maunakea7,0,113.1,DST Saints  FLEX Alec Pierce QB Daniel Jones RB Jahmyr Gibbs RB Chuba Hubbard TE Sam LaPorta WR Terry McLaurin WR Matthew Golden WR Deebo Samuel Sr.,,Rashid Shaheed,WR,12.50%,7.4
28,4927089784,Dunn2pac,0,112.14,DST Commanders  FLEX Chuba Hubbard QB Jayden Daniels RB Jahmyr Gibbs RB Austin Ekeler TE Ja'Tavion Sanders WR Terry McLaurin WR Amon-Ra St. Brown WR Christian Watson,,Deebo Samuel Sr.,WR,12.50%,11.4
29,4927205590,dakid83,0,112.1,DST Commanders  FLEX Alvin Kamara QB Daniel Jones RB Jahmyr Gibbs RB Jonathan Taylor TE Tyler Warren WR Michael Pittman Jr. WR Christian Watson WR Tetairoa McMillan,,Noah Brown,WR,12.50%,7.6
30,4926807707,cos6442,0,111.74,DST Commanders  FLEX Alec Pierce QB Jayden Daniels RB Jahmyr Gibbs RB Austin Ekeler TE Sam LaPorta WR Terry McLaurin WR Matthew Golden WR Christian Watson,,Michael Pittman Jr.,WR,12.50%,8.2
31,4927113535,Handcuff2006,0,111.64,DST Saints  FLEX Jayden Reed QB Jayden Daniels RB Jahmyr Gibbs RB Jonathan Taylor TE Ja'Tavion Sanders WR Terry McLaurin WR Jameson Williams WR Rashid Shaheed,,Jayden Reed,WR,7.14%,17.3
32,4926967069,Done1263,0,111.4,DST Saints  FLEX Josh Jacobs QB Daniel Jones RB Jahmyr Gibbs RB Jonathan Taylor TE Tyler Warren WR Jameson Williams WR Christian Watson WR Tetairoa McMillan,,Bryce Young,QB,5.36%,29.3
33,4926613977,Daquan112980,0,108.700005,DST Packers  FLEX Chuba Hubbard QB Daniel Jones RB Jahmyr Gibbs RB Jonathan Taylor TE Ja'Tavion Sanders WR Terry McLaurin WR Jameson Williams WR Christian Watson,,Xavier Legette,WR,5.36%,21.4
