Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4959216119,Phins71,0,175.84,DST Falcons  FLEX Brock Bowers QB Brock Purdy RB Joe Mixon RB Aaron Jones Sr. TE George Kittle WR Khalil Shakir WR Nico Collins WR Drake London,,Christian McCaffrey,RB,66.67%,20.8
2,4959236916,okechukwua94,0,169.7,DST Vikings  FLEX Tre Tucker QB Josh Allen RB Christian McCaffrey RB Aaron Jones Sr. TE George Kittle WR Khalil Shakir WR Nico Collins WR Jordan Addison,,Dalton Kincaid,TE,56.41%,7.1
3,4959533129,PittsburghJD,0,159.6,DST Falcons  FLEX Joe Mixon QB Josh Allen RB Christian McCaffrey RB Aaron Jones Sr. TE Dalton Kincaid WR Nico Collins WR Keon Coleman WR Jordan Addison,,Josh Allen,QB,51.28%,27.3
4,4959434300,frquis,0,158.5,DST Vikings  FLEX Dalton Kincaid QB Josh Allen RB Christian McCaffrey RB Aaron Jones Sr. TE Dalton Schultz WR Khalil Shakir WR Nico Collins WR Ricky Pearsall,,James Cook III,RB,48.72%,15.2
5,4959534406,Sernatime,0,156.6,DST Falcons  FLEX James Cook III QB Josh Allen RB Bijan Robinson RB Aaron Jones Sr. TE Dalton Kincaid WR Khalil Shakir WR Jordan Addison WR Tank Dell,,Nico Collins,WR,43.59%,11.5
6,4959396418,MySportsVice,0,155.5,DST 49ers  FLEX Dalton Schultz QB Josh Allen RB Christian McCaffrey RB Aaron Jones Sr. TE Brock Bowers WR Nico Collins WR Drake London WR Keon Coleman,,Jordan Addison,WR,41.03%,9.9
7,4959482724,davebla,0,148.1,DST Falcons  FLEX Joe Mixon QB Josh Allen RB Christian McCaffrey RB Ashton Jeanty TE Dalton Schultz WR Khalil Shakir WR Jauan Jennings WR Jordan Addison,,Bijan Robinson,RB,38.46%,14.9
8,4959461358,StevieG916,0,147.68,DST Bills  FLEX Dalton Kincaid QB C.J. Stroud RB James Cook III RB Aaron Jones Sr. TE Kyle Pitts Sr. WR Khalil Shakir WR Nico Collins WR Jakobi Meyers,,Aaron Jones Sr.,RB,30.77%,43.4
9,4959264931,cmiller0624,0,147.6,DST Falcons  FLEX Kyle Pitts Sr. QB Josh Allen RB Christian McCaffrey RB Aaron Jones Sr. TE Dalton Kincaid WR Nico Collins WR Jakobi Meyers WR Jauan Jennings,,Keon Coleman,WR,30.77%,10.7
10,4959471374,Chuckpickz,0,144.9,DST Bills  FLEX Christian McCaffrey QB Josh Allen RB James Cook III RB Aaron Jones Sr. TE Dalton Kincaid WR Jakobi Meyers WR Keon Coleman WR Ricky Pearsall,,49ers,DST,30.77%,4
