Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4936695845,TODDSTER-007,0,190.5,DST Jaguars  FLEX Zay Flowers QB Trevor Lawrence RB James Cook III RB D'Andre Swift TE Dalton Kincaid WR Brian Thomas Jr. WR Stefon Diggs WR Emeka Egbuka,,James Cook III,RB,68.75%,9
2,4936656285,mxrippa794,0,189.38,DST Bills  FLEX Keon Coleman QB Josh Allen RB Travis Etienne Jr. RB TreVeyon Henderson TE Mark Andrews WR Stefon Diggs WR Khalil Shakir WR Chris Godwin Jr.,,Khalil Shakir,WR,62.50%,18.6
3,4936666197,davebla,0,187.26,DST Bills  FLEX Stefon Diggs QB Lamar Jackson RB James Cook III RB D'Andre Swift TE Dalton Kincaid WR Mike Evans WR Chris Godwin Jr. WR Luther Burden III,,Bucky Irving,RB,59.38%,9.4
4,4936683075,BolasViejas,0,181.48,DST Buccaneers  FLEX Luther Burden III QB Josh Allen RB James Cook III RB Derrick Henry TE Dalton Kincaid WR Mike Evans WR Stefon Diggs WR Kayshon Boutte,,Luther Burden III,WR,53.13%,17.4
5,4936692014,justpickingwinners,0,180.18,DST Ravens  FLEX Mark Andrews QB Josh Allen RB James Cook III RB D'Andre Swift TE Dalton Kincaid WR Brian Thomas Jr. WR Khalil Shakir WR Emeka Egbuka,,Caleb Williams,QB,40.63%,31.5
6,4936698586,sparky162,0,172.04,DST Patriots  FLEX Brian Thomas Jr. QB Drake Maye RB Bucky Irving RB TreVeyon Henderson TE Hunter Henry WR Stefon Diggs WR Zay Flowers WR DeMario Douglas,,Travis Etienne Jr.,RB,40.63%,12.1
7,4936691633,mne836,0,172,DST Ravens  FLEX Brian Thomas Jr. QB Trevor Lawrence RB Travis Etienne Jr. RB Bucky Irving TE Dalton Kincaid WR Khalil Shakir WR DeAndre Hopkins WR Luther Burden III,,Dalton Kincaid,TE,37.50%,28
8,4936671562,Daquan112980,0,161.7,DST Jaguars  FLEX Khalil Shakir QB Caleb Williams RB Derrick Henry RB D'Andre Swift TE Cade Otton WR Mike Evans WR Brian Thomas Jr. WR Kayshon Boutte,,D'Andre Swift,RB,34.38%,20.3
9,4936654502,StevieG916,0,159.8,DST Bears  FLEX Bucky Irving QB Caleb Williams RB Travis Etienne Jr. RB James Cook III TE Cade Otton WR Brian Thomas Jr. WR Chris Godwin Jr. WR Luther Burden III,,Rome Odunze,WR,34.38%,10.3
10,4936654689,Jonny2Tempered,0,158.36,DST Bills  FLEX TreVeyon Henderson QB Baker Mayfield RB Travis Etienne Jr. RB D'Andre Swift TE Brenton Strange WR Mike Evans WR Stefon Diggs WR Chris Godwin Jr.,,Ravens,DST,34.38%,3
11,4936697491,hawks8888,0,151.78,DST Patriots  FLEX Derrick Henry QB Josh Allen RB Bucky Irving RB D'Andre Swift TE Dalton Kincaid WR Khalil Shakir WR DJ Moore WR Tim Patrick,,Mike Evans,WR,31.25%,4.8
12,4936682030,Timj1890,0,147.04,DST Ravens  FLEX D'Andre Swift QB Drake Maye RB James Cook III RB Bucky Irving TE Dalton Kincaid WR Rome Odunze WR DeMario Douglas WR Emeka Egbuka,,Derrick Henry,RB,25.00%,14.8
13,4936666125,kingzoe500,0,143.14,DST Bills  FLEX DeMario Douglas QB Drake Maye RB Travis Etienne Jr. RB Bucky Irving TE Brenton Strange WR Mike Evans WR Khalil Shakir WR Luther Burden III,,Stefon Diggs,WR,25.00%,45.4
14,4936673828,benrichardson,0,142.4,DST Ravens  FLEX Derrick Henry QB Caleb Williams RB James Cook III RB D'Andre Swift TE Dalton Kincaid WR Rome Odunze WR DeMario Douglas WR Luther Burden III,,Chris Godwin Jr.,WR,25.00%,27.2
